100 500000 0.5 gpomdp hoeffding 30000000
76 166836 -0.0116042754204 1.60789301331e-05 -47.7880438718 -12.0437526494
77 168317 -0.011753024915 1.62580500037e-05 -47.6946405189 -12.0374072643
78 166753 -0.011904135352 1.61514622697e-05 -47.6001882085 -12.0385769856
79 167000 -0.0120541441221 1.61746734835e-05 -47.5068537426 -12.0278833856
80 166854 -0.0122044342185 1.61285977866e-05 -47.4137701934 -12.0077850226
81 167489 -0.0123540116589 1.61889229513e-05 -47.321548496 -12.0258990836
82 167100 -0.0125043230354 1.61951759518e-05 -47.2292939906 -12.0200030924
83 166607 -0.0126549151591 1.60363192206e-05 -47.1372862336 -12.0239566423
84 168815 -0.0128030516809 1.62069377859e-05 -47.0471852831 -12.0151760237
85 168116 -0.0129530752185 1.61781520713e-05 -46.9563447386 -12.0039741668
86 167909 -0.0131029243091 1.60494955496e-05 -46.8660171014 -12.0159361718
87 169907 -0.0132507054092 1.63300593639e-05 -46.777332034 -12.0075188592
88 167103 -0.0134023260536 1.60319516235e-05 -46.6867488052 -12.017432428
89 169392 -0.0135501694983 1.61170044666e-05 -46.5988155438 -12.0199140624
90 170237 -0.0136984282017 1.62283442637e-05 -46.5110227413 -12.0026955851
91 169164 -0.0138481837098 1.619218348e-05 -46.4227348894 -12.011500131
92 168716 -0.0139978039416 1.61777844457e-05 -46.3349169385 -12.0020319886
93 168515 -0.0141473801539 1.61713995398e-05 -46.247512061 -12.0131876503
94 168423 -0.0142969380212 1.6142071342e-05 -46.1605024724 -12.0110076339
95 168833 -0.0144460433834 1.61249061532e-05 -46.0741364406 -12.019486644
96 169539 -0.0145946797134 1.62401954832e-05 -45.9884175578 -12.0039253357
97 168268 -0.0147449430771 1.60954775376e-05 -45.9021389403 -12.0062677211
98 169477 -0.0148933352582 1.61459003722e-05 -45.8173058614 -12.0059418701
99 169824 -0.0150420403906 1.61504577322e-05 -45.7326614603 -11.9815762635
100 170093 -0.0151906698158 1.61927394717e-05 -45.6484254802 -11.9974420635
101 169633 -0.0153398902289 1.61473858755e-05 -45.5642196102 -12.0002439321
102 169954 -0.0154885518483 1.61944239087e-05 -45.4806904625 -12.0042455507
103 169465 -0.0156378615578 1.61212054449e-05 -45.397157918 -12.0052856932
104 170238 -0.0157861585696 1.61664944293e-05 -45.3145475138 -12.0033781379
105 170230 -0.0159348755168 1.6199535743e-05 -45.2320567875 -11.9840592058
106 169652 -0.0160841499355 1.60447962143e-05 -45.149610678 -12.0021471353
107 171752 -0.0162310918288 1.61796043311e-05 -45.0687968939 -11.9879471984
108 171516 -0.0163793705105 1.62456338374e-05 -44.9875917386 -11.9861213667
109 170136 -0.0165288566105 1.61909274016e-05 -44.9060727476 -11.9872205523
110 169707 -0.0166780277547 1.61478755083e-05 -44.8250710321 -11.9794485542
111 170020 -0.0168266651584 1.60756081018e-05 -44.7447002859 -11.9784302795
112 171587 -0.0169739599616 1.61589768819e-05 -44.6653893333 -11.9818007034
113 171710 -0.0171219658122 1.61566204272e-05 -44.5860281534 -11.9775846758
114 171874 -0.0172698793819 1.61199861766e-05 -44.5070475119 -11.9754542368
115 172679 -0.0174171132086 1.62335370165e-05 -44.4287564689 -11.9811777634
116 171500 -0.0175658928014 1.6146731429e-05 -44.3499724576 -11.9739390901
117 171836 -0.0177137321177 1.62208779437e-05 -44.2720119078 -11.976644776
118 170882 -0.0178626642333 1.60564531698e-05 -44.193801185 -11.9777948346
119 172793 -0.0180092694097 1.60932254933e-05 -44.1171301399 -11.9788931813
120 174074 -0.0181556684774 1.63301484453e-05 -44.0408794963 -11.960190052
121 171200 -0.0183054648686 1.61389361175e-05 -43.9631807597 -11.969324719
122 171671 -0.0184533037387 1.60454128467e-05 -43.8868141451 -11.9648534894
123 173785 -0.01859938918 1.62322989072e-05 -43.8116604879 -11.9554951592
124 172620 -0.018747673962 1.61890162597e-05 -43.7356858009 -11.9557825448
125 172218 -0.0188957360944 1.61193889195e-05 -43.6601353353 -11.96303296
126 173035 -0.019042812893 1.61238269704e-05 -43.5853926138 -11.954620107
127 173778 -0.019189615516 1.6250609009e-05 -43.5110904959 -11.9538205452
128 172293 -0.0193382085048 1.61064353658e-05 -43.4361868808 -11.9639621476
129 173338 -0.0194850385806 1.6185118302e-05 -43.3624712012 -11.9620993178
130 173003 -0.0196327289578 1.60893051647e-05 -43.2886219157 -11.9711040342
131 174355 -0.0197789744071 1.62793654776e-05 -43.2157881773 -11.9546589521
132 172362 -0.0199278007559 1.60030915624e-05 -43.1419666659 -11.9488253697
133 175236 -0.0200728965324 1.62137609149e-05 -43.0702828822 -11.9481246388
134 174389 -0.0202202588284 1.62428751013e-05 -42.9977679201 -11.9508250784
135 173035 -0.0203684625319 1.6026607172e-05 -42.9251304928 -11.9470054644
136 175501 -0.020513661862 1.62948559005e-05 -42.8542474691 -11.9607642854
137 173222 -0.0206622593642 1.61128125059e-05 -42.7819927154 -11.9493702718
138 174160 -0.0208088005731 1.61353432648e-05 -42.7110206515 -11.9426044998
139 174703 -0.020955318391 1.61461615066e-05 -42.6403390545 -11.9485295925
140 175056 -0.0211017867914 1.62115318138e-05 -42.5699586415 -11.9329323664
141 174250 -0.0212491878905 1.61987439364e-05 -42.4994083681 -11.9398739024
142 173673 -0.0213967172208 1.61845042617e-05 -42.4290746494 -11.9365885006
143 173348 -0.0215442548944 1.59734259237e-05 -42.359013401 -11.9380792285
144 176770 -0.021688451928 1.62295117724e-05 -42.2908041122 -11.929407276
145 175635 -0.0218354333576 1.61126908613e-05 -42.2215463655 -11.9293816591
146 176588 -0.0219809624438 1.62961245849e-05 -42.1532386334 -11.9401385774
147 174273 -0.0221291229562 1.61574021556e-05 -42.083965769 -11.9463093228
148 174426 -0.0222759577564 1.60669423128e-05 -42.0155799629 -11.9309758744
149 176189 -0.0224212380314 1.61357311637e-05 -41.9481784515 -11.9289263409
150 176732 -0.0225669161228 1.61782638481e-05 -41.8808508728 -11.9212512891
151 176513 -0.0227130687085 1.61420747204e-05 -41.8135626343 -11.9381328175
152 176943 -0.0228587171288 1.62721580562e-05 -41.7467627646 -11.9118538725
153 175048 -0.0230063317062 1.61736945697e-05 -41.6793206668 -11.9091233952
154 174912 -0.0231531101126 1.60604018135e-05 -41.6125181733 -11.9141687609
155 176797 -0.023298081228 1.61091018336e-05 -41.5467889107 -11.9243761592
156 177821 -0.023443072563 1.62518963201e-05 -41.4812982645 -11.9153655832
157 176279 -0.0235899878381 1.61635520585e-05 -41.4151899346 -11.9194873557
158 176323 -0.0237360859297 1.61703999492e-05 -41.3496987899 -11.9215383134
159 176245 -0.0238822784631 1.61662602534e-05 -41.2844129256 -11.9153656055
160 176241 -0.0240284352082 1.60570656209e-05 -41.219389259 -11.9141605488
161 178201 -0.0241728042433 1.62729750656e-05 -41.1554012653 -11.9105415411
162 176278 -0.024319910341 1.61011789798e-05 -41.0904444612 -11.9187638188
163 177442 -0.02446498521 1.61778672511e-05 -41.0266247681 -11.9110088842
164 177229 -0.0246108385915 1.60724306643e-05 -40.962701709 -11.9055385808
165 178921 -0.0247550548282 1.62249422939e-05 -40.8997305866 -11.9185362224
166 177855 -0.0249010750907 1.61425267411e-05 -40.8362079323 -11.9100587479
167 178280 -0.0250461803686 1.61980447639e-05 -40.7733174494 -11.9149397862
168 177702 -0.0251920212572 1.61114153117e-05 -40.7103420186 -11.9054368621
169 178690 -0.0253366806658 1.61300257351e-05 -40.6481071168 -11.906063269
170 179344 -0.0254812426829 1.61026227069e-05 -40.5861420486 -11.9189422738
171 180502 -0.0256250955674 1.62744913202e-05 -40.5247058981 -11.8911802528
172 178527 -0.0257712858816 1.61444327373e-05 -40.4625001372 -11.9043313462
173 178919 -0.0259161489134 1.61221882875e-05 -40.4010852791 -11.890453317
174 179717 -0.0260604907782 1.62541360401e-05 -40.3401140382 -11.8943892324
175 178118 -0.0262066657721 1.61044660993e-05 -40.2785937586 -11.8997001084
176 179234 -0.0263510429119 1.61590833418e-05 -40.2180514812 -11.890485017
177 179360 -0.0264958587567 1.61891724415e-05 -40.1575450246 -11.8751185173
178 178939 -0.0266411148599 1.62257958829e-05 -40.0970745542 -11.8806569065
179 177857 -0.0267871417827 1.61000464559e-05 -40.0365040166 -11.8962884344
