100 100000 0.95 gpomdp bernstein 30000000
260 3863 -0.0601512825818 2.63370869482e-05 -30.2924740343 -11.5889378645
261 3841 -0.0603654760549 2.62419259665e-05 -30.2485039989 -11.6666185337
262 3828 -0.0605805726918 2.64030686139e-05 -30.2045169051 -11.6210759891
263 3794 -0.0607978629558 2.57978894737e-05 -30.1602515415 -11.5891816702
264 3895 -0.0610048956348 2.64343636244e-05 -30.1182341799 -11.5671840664
265 3846 -0.0612198915419 2.61848891999e-05 -30.0747633488 -11.6570115747
266 3858 -0.061432039516 2.61885715105e-05 -30.0320299227 -11.6462202557
267 3864 -0.0616443163521 2.63266873066e-05 -29.9894302927 -11.5358134043
268 3836 -0.061859428882 2.62582874987e-05 -29.9464237165 -11.5850088373
269 3832 -0.0620735891905 2.6374437618e-05 -29.9037687332 -11.5228473212
270 3808 -0.0622895510858 2.65217971566e-05 -29.860916917 -11.5441905804
271 3746 -0.0625105719195 2.59906476898e-05 -29.8172287852 -11.6496223364
272 3816 -0.0627224556298 2.62354647606e-05 -29.7755049339 -11.52834181
273 3819 -0.0629370406426 2.60934145607e-05 -29.7334060974 -11.5788553906
274 3844 -0.0631498007338 2.64620654447e-05 -29.6918203748 -11.5810074858
275 3793 -0.0633678136558 2.60790695123e-05 -29.6493672548 -11.591082778
276 3824 -0.0635814390563 2.59330214792e-05 -29.60792407 -11.6595053303
277 3891 -0.0637900861244 2.66301250417e-05 -29.5675945136 -11.5952677339
278 3807 -0.0640082344201 2.56755365046e-05 -29.5255838341 -11.5978343852
279 3935 -0.0642123996761 2.63936863055e-05 -29.4864091115 -11.6180174832
280 3896 -0.0644242674721 2.61950548108e-05 -29.4459019772 -11.6002128311
281 3893 -0.0646354658724 2.63000015617e-05 -29.4056695717 -11.5412454175
282 3878 -0.0648474214694 2.64214758079e-05 -29.3654394413 -11.6095181776
283 3849 -0.0650610493193 2.62803505205e-05 -29.3250396386 -11.6220255532
284 3838 -0.065275169445 2.61474141745e-05 -29.2846947658 -11.5598303798
285 3865 -0.0654861927175 2.6250891472e-05 -29.2450776302 -11.5848821051
286 3867 -0.0656980594429 2.55834364449e-05 -29.2054454131 -11.5981306111
287 4018 -0.0658973342382 2.64226453849e-05 -29.1682989978 -11.5279154245
288 3965 -0.0661061832519 2.680939286e-05 -29.1295027622 -11.5453658324
289 3829 -0.0663251327054 2.56554465426e-05 -29.0889777079 -11.5582209595
290 3957 -0.0665283244802 2.71509335931e-05 -29.0515035535 -11.4337892469
291 3750 -0.0667541118866 2.54670460211e-05 -29.0100130192 -11.5727053872
292 3932 -0.0669561896997 2.67235208876e-05 -28.9730133244 -11.5464466093
293 3822 -0.0671744002466 2.56612114976e-05 -28.9332011454 -11.5453666903
294 3959 -0.0673768104579 2.61759983123e-05 -28.8964022688 -11.5441148277
295 3974 -0.0675826227641 2.65235496671e-05 -28.859113054 -11.5113334975
296 3914 -0.067793839996 2.62358943908e-05 -28.8209782674 -11.5173539165
297 3921 -0.0680025292836 2.65924565877e-05 -28.783432222 -11.5051820447
298 3833 -0.0682196934718 2.56079411402e-05 -28.7445003508 -11.6475199954
299 3966 -0.0684225104487 2.6150267223e-05 -28.7082678612 -11.495110545
300 3985 -0.0686277997286 2.70552927443e-05 -28.6717182765 -11.5079178107
301 3798 -0.0688499252392 2.58936344964e-05 -28.6323116225 -11.5076390146
302 3873 -0.0690592005486 2.57757384266e-05 -28.5953175491 -11.4802586741
303 3982 -0.0692614891978 2.65127579766e-05 -28.559680417 -11.4876909016
304 3922 -0.0694724494916 2.65032544429e-05 -28.5226426007 -11.4880488471
305 3853 -0.0696879397005 2.63099809797e-05 -28.4849426666 -11.4116908181
306 3839 -0.0699020202932 2.57814557092e-05 -28.4476219427 -11.5359995635
307 3945 -0.0701062774962 2.60792651647e-05 -28.4121363104 -11.4916604709
308 3988 -0.0703103875664 2.63498790894e-05 -28.376795212 -11.5249011073
309 3958 -0.0705187241885 2.68777022553e-05 -28.3408443409 -11.4705761977
310 3801 -0.0707401974698 2.55189339298e-05 -28.3027611032 -11.5717733895
311 3961 -0.0709420184971 2.64923757223e-05 -28.2681772625 -11.601401365
312 3901 -0.0711542565831 2.59975689291e-05 -28.2319312945 -11.5827636229
313 3961 -0.0713591730367 2.60706232976e-05 -28.1970546995 -11.559064741
314 4002 -0.0715627662963 2.71123586219e-05 -28.1625185081 -11.4673522529
315 3796 -0.0717858961029 2.56717006861e-05 -28.1247994877 -11.5082237499
316 3917 -0.071991507784 2.55929056792e-05 -28.0901627029 -11.4716970181
317 4064 -0.072188782124 2.62191153572e-05 -28.0570388493 -11.5816176781
318 4061 -0.0723910946915 2.67131581422e-05 -28.0231788166 -11.4592146542
319 3942 -0.0726031701965 2.65406631714e-05 -27.9878035724 -11.5221661431
320 3863 -0.0728185091028 2.5358529255e-05 -27.9520077407 -11.5741422609
321 4065 -0.0730139541673 2.66503366582e-05 -27.9196262978 -11.4783493382
322 3962 -0.0732244405593 2.57267424745e-05 -27.8848665749 -11.5743717875
323 4072 -0.0734228145357 2.68143043184e-05 -27.852214587 -11.4913999114
324 3933 -0.0736358326862 2.61207364808e-05 -27.817267771 -11.4617488948
325 3959 -0.0738421424253 2.61851573747e-05 -27.7835350527 -11.5129879897
326 3973 -0.074048026228 2.62559788262e-05 -27.7499828176 -11.523096203
327 3976 -0.0742538990802 2.58470188261e-05 -27.7165425517 -11.4389411663
328 4071 -0.0744523663272 2.65550790284e-05 -27.6844090038 -11.4811886817
329 3996 -0.0746598788051 2.61877383292e-05 -27.6509194234 -11.5136407232
330 4000 -0.074865040792 2.65824927395e-05 -27.6179176707 -11.555997066
331 3921 -0.0750767470014 2.5212250012e-05 -27.583975778 -11.5477325112
332 4153 -0.0752674325772 2.71878929726e-05 -27.5535014184 -11.4161614919
333 3922 -0.0754839704744 2.59867966937e-05 -27.5190068659 -11.4259644803
334 3971 -0.075689247037 2.61331834422e-05 -27.4864151112 -11.4932294404
335 3988 -0.0758946495114 2.59998169814e-05 -27.4539089094 -11.5108626035
336 4039 -0.0760962803864 2.66440113087e-05 -27.4221017903 -11.4103409103
337 3940 -0.0763077417802 2.58651278925e-05 -27.3888521815 -11.4850379318
