100 100000 0.95 reinforce cheb_reinforce 30000000
77 15404 -0.0115607654276 1.68203930358e-05 -47.8154452881 -12.0008971675
78 14415 -0.0117216506043 1.57564055287e-05 -47.7143058648 -12.0024815443
79 15028 -0.0118692572241 1.57356845428e-05 -47.6219503197 -12.0354640812
80 15700 -0.0120134800183 1.68384501185e-05 -47.5321125929 -12.0360433498
81 14666 -0.0121731585026 1.60918926561e-05 -47.4331061066 -12.0477174769
82 14777 -0.0123251798409 1.55530594695e-05 -47.3392921996 -11.9745969184
83 15727 -0.0124676063723 1.60837420506e-05 -47.2517903819 -12.0559422341
84 15859 -0.0126142751904 1.70246056073e-05 -47.162075004 -12.0244312058
85 14537 -0.0127764303046 1.55487474368e-05 -47.0633475856 -12.062685774
86 15478 -0.0129199564466 1.60376287912e-05 -46.9763632527 -12.0353133865
87 15681 -0.013067031842 1.60406972584e-05 -46.8876158205 -12.0265630623
88 15882 -0.0132132028654 1.66065779686e-05 -46.7998006325 -11.9912384883
89 15188 -0.0133679481092 1.6292369141e-05 -46.7072514301 -11.9954337931
90 14995 -0.0135207414065 1.56271201313e-05 -46.6162877369 -12.0061117861
91 15839 -0.0136633378953 1.62660243073e-05 -46.5317668876 -12.0245081211
92 15680 -0.0138125168484 1.70216679044e-05 -46.4437266268 -12.0510928844
93 14377 -0.0139755424891 1.51939234693e-05 -46.3479584591 -11.9346333418
94 15870 -0.0141140484161 1.69422849172e-05 -46.2669560701 -11.9937921597
95 14669 -0.0142746919039 1.59292820527e-05 -46.1734205436 -12.04571153
96 15026 -0.0144239248534 1.59338095204e-05 -46.0869242275 -12.000320938
97 15385 -0.0145714501607 1.60696567128e-05 -46.0017894725 -11.9919944916
98 15537 -0.0147195044707 1.61474974324e-05 -45.916718688 -12.0234023149
99 15567 -0.014868132342 1.61749739356e-05 -45.8316880075 -12.0042331273
100 15553 -0.0150170770834 1.62897723276e-05 -45.7468452164 -11.9972540922
101 15359 -0.0151680229002 1.55755902992e-05 -45.6612371659 -11.9846532063
102 16309 -0.0153080875934 1.6260045362e-05 -45.5821354525 -11.9557325201
103 16155 -0.0154550026789 1.62266396736e-05 -45.4995094827 -11.9455669532
104 16056 -0.0156020636671 1.61139900341e-05 -45.4171525173 -11.9991871814
105 16141 -0.0157477184172 1.66985364728e-05 -45.3359271067 -12.0168428796
106 15293 -0.0159027882893 1.67563855124e-05 -45.2498251739 -11.9993158728
107 14405 -0.0160631208371 1.54376257866e-05 -45.1612039417 -12.0613838329
108 15512 -0.0162054660386 1.61785126176e-05 -45.0828658579 -12.0090585478
109 15493 -0.0163547340379 1.61008162078e-05 -45.0010601252 -12.0333498081
110 15596 -0.0165027914163 1.62314236367e-05 -44.9202618222 -11.9610247339
111 15493 -0.0166525451862 1.57052147796e-05 -44.838884021 -11.9562422381
112 16236 -0.0167940928434 1.59789518326e-05 -44.7622836585 -11.9593231711
113 16548 -0.0169367431176 1.69995438362e-05 -44.685397499 -11.9737673417
114 15207 -0.0170950516762 1.51971682858e-05 -44.6004348831 -12.0054209941
115 16781 -0.0172297757544 1.70408366175e-05 -44.5284288539 -11.9866531629
116 15357 -0.0173876934236 1.56780917661e-05 -44.4443743745 -11.9835589812
117 16138 -0.017529425472 1.61950424964e-05 -44.3692527027 -11.9569723369
118 16091 -0.0176760421784 1.67664815943e-05 -44.2918563472 -11.9667183023
119 15141 -0.0178325227257 1.60093931017e-05 -44.2096034809 -11.9829353882
120 15384 -0.0179807514914 1.64052959255e-05 -44.132019736 -11.9804869262
121 15016 -0.0181344986341 1.56656343363e-05 -44.051886372 -12.0182711609
122 15799 -0.018277626434 1.63421623248e-05 -43.9775959344 -11.9556423345
123 15520 -0.0184282739107 1.63027367424e-05 -43.899721333 -11.9390712748
124 15307 -0.0185795998532 1.5926117044e-05 -43.8218232923 -11.9906504396
125 15685 -0.0187256371726 1.58478257949e-05 -43.7469567845 -12.0072758742
126 16200 -0.0188686252969 1.58936525939e-05 -43.6739458501 -11.9650849296
127 16655 -0.0190100578424 1.6841754738e-05 -43.6020121366 -11.9251845978
128 15552 -0.0191651471556 1.6005683975e-05 -43.5234539921 -11.9599044625
129 15808 -0.0193113427397 1.56970316352e-05 -43.4497069149 -11.9580671672
130 16579 -0.0194513417832 1.6567621623e-05 -43.3793623871 -11.955807944
131 15918 -0.0196021458522 1.65455113793e-05 -43.303889843 -11.9487176398
132 15317 -0.0197556715866 1.60945848518e-05 -43.2273740816 -11.942399602
133 15429 -0.0199044724732 1.62739111214e-05 -43.1535182993 -12.0089661881
134 15262 -0.020055754316 1.56539385158e-05 -43.0787371817 -11.9053801598
135 16077 -0.0201975336466 1.60633928562e-05 -43.0089317729 -11.9436790214
136 16246 -0.0203422641011 1.63296620121e-05 -42.937949638 -11.9411165912
137 15979 -0.0204906169125 1.66212958322e-05 -42.8654789313 -11.9688849223
138 15258 -0.0206451437327 1.55586313874e-05 -42.7903003527 -11.9175937609
139 16229 -0.0207853972649 1.6385276937e-05 -42.722336441 -11.977941386
140 15872 -0.0209347539403 1.55856728432e-05 -42.650242765 -11.9277317048
141 16836 -0.0210726963924 1.70069896032e-05 -42.5839150537 -11.9632995034
142 15460 -0.0212297730863 1.55126241169e-05 -42.5086849272 -11.8932170645
143 16521 -0.0213683707444 1.6332922065e-05 -42.4425671574 -11.9503497102
144 16244 -0.0215155373728 1.64035134791e-05 -42.3726289049 -11.9842169671
145 15858 -0.0216651295057 1.56931748915e-05 -42.3018185446 -11.9024623722
146 16638 -0.0218048459429 1.71129704834e-05 -42.235936905 -11.9663027212
147 15115 -0.0219646954204 1.53999348559e-05 -42.1608608942 -11.9469146601
148 16339 -0.0221030524121 1.62388958196e-05 -42.0961354448 -11.9577680722
149 16219 -0.0222494844616 1.60032491451e-05 -42.0278898609 -11.9256013272
150 16490 -0.022392602903 1.64338169905e-05 -41.961443052 -11.9385785487
151 16049 -0.0225415780578 1.59257683151e-05 -41.8925427542 -11.8767160806
152 16446 -0.0226841938787 1.70254723203e-05 -41.8268360602 -11.9265083704
153 15074 -0.0228434439342 1.53281746818e-05 -41.7537556659 -11.9236279032
154 16414 -0.0229808407902 1.6324629874e-05 -41.6909483498 -11.8993701777
155 16152 -0.0231283493078 1.63243439833e-05 -41.6237694831 -11.9245596434
156 15895 -0.0232770446132 1.61368647182e-05 -41.55631142 -11.9244195747
157 15943 -0.0234238132333 1.61548546854e-05 -41.4899832242 -11.8563634399
158 15962 -0.0235706580991 1.59776468524e-05 -41.4238734483 -11.9450257122
159 16271 -0.0237145062356 1.59788996029e-05 -41.3593566783 -11.9769654454
160 16583 -0.0238570021586 1.61385250746e-05 -41.2956830298 -11.8900748944
161 16630 -0.0240007208311 1.62911609159e-05 -41.2317002558 -11.8941043459
162 16421 -0.0241467197534 1.62453829492e-05 -41.1669449484 -11.9017498667
163 16290 -0.0242928921771 1.67692558854e-05 -41.1023562927 -11.8791876801
164 15324 -0.0244484616057 1.58690542468e-05 -41.0338816507 -11.8915505341
165 15793 -0.0245934741858 1.60174479503e-05 -40.9702994662 -11.8962758302
166 16033 -0.0247387433578 1.60365859241e-05 -40.9068412378 -11.9036172608
167 16245 -0.0248832337007 1.58246933719e-05 -40.8439567054 -11.8984755693
168 16818 -0.0250233658542 1.6553356627e-05 -40.783190141 -11.8705431561
169 16171 -0.0251728574828 1.62887398202e-05 -40.7186037772 -11.9358244878
170 15971 -0.0253208737533 1.56032241974e-05 -40.6548963895 -11.9015399598
171 16911 -0.025458665737 1.67180133068e-05 -40.5958044679 -11.9266941185
172 15991 -0.0256104906426 1.6090108114e-05 -40.5309331149 -11.9247119357
173 16115 -0.0257560483098 1.57717513455e-05 -40.4689731866 -11.8422017474
174 16774 -0.0258958972937 1.66067025069e-05 -40.4096574892 -11.9142014724
175 16041 -0.0260464739277 1.61063613756e-05 -40.3460251654 -11.912883753
176 16139 -0.0261920714034 1.55444128926e-05 -40.2847258989 -11.9085460657
177 17191 -0.0263282200431 1.63296730735e-05 -40.227607302 -11.9142145446
178 16908 -0.0264724378786 1.57477314088e-05 -40.1673157833 -11.8475655526
179 17642 -0.0266085937963 1.70591752279e-05 -40.1105940764 -11.8978672404
180 16115 -0.0267629188659 1.59028033906e-05 -40.0465361782 -11.8860665732
181 16552 -0.0269048715035 1.67982677554e-05 -39.9878312781 -11.9024781209
182 15525 -0.0270596992838 1.50286542858e-05 -39.9240380251 -11.8914015906
183 17429 -0.0271904307689 1.66413213768e-05 -39.8703639883 -11.8797774768
184 16609 -0.0273387188468 1.56102440782e-05 -39.809692231 -11.8679819807
185 17574 -0.027473947451 1.66075385738e-05 -39.7545577379 -11.9332666383
186 16805 -0.02762107055 1.63080201978e-05 -39.6947827994 -11.8850620223
187 16565 -0.0277665819748 1.54391673435e-05 -39.6358758899 -11.8674050783
188 17835 -0.0278993462291 1.71700131029e-05 -39.5823134106 -11.8936766466
189 16109 -0.0280547014836 1.60718996493e-05 -39.5198585982 -11.8695236844
190 16264 -0.0281994271508 1.59203644567e-05 -39.4618910795 -11.8549576264
191 16675 -0.0283410102694 1.62075150318e-05 -39.4053809912 -11.8896200423
192 16605 -0.0284854492899 1.61074551881e-05 -39.3479325094 -11.8879135159
193 16704 -0.0286285704088 1.63685944234e-05 -39.2912078808 -11.8716527939
194 16365 -0.0287755139357 1.60482872219e-05 -39.2331739908 -11.9176918261
195 16562 -0.028918720491 1.62740881812e-05 -39.1768154736 -11.8708352079
196 16382 -0.0290647390073 1.6694126079e-05 -39.1195520162 -11.8602855758
197 15528 -0.029218588963 1.57665262356e-05 -39.0594365022 -11.8779303486
198 16171 -0.0293609717656 1.58371569073e-05 -39.0040009866 -11.8870322149
199 16720 -0.0295016238015 1.59472299382e-05 -38.9494264623 -11.9051442557
200 17096 -0.0296416894417 1.60949825207e-05 -38.8952633587 -11.8623902951
201 17220 -0.0297825419596 1.63053040831e-05 -38.8409800992 -11.847694525
202 16979 -0.0299262455475 1.65057922412e-05 -38.7857873904 -11.8375287269
203 16404 -0.0300742418931 1.59182837745e-05 -38.7291447985 -11.8519616903
204 16822 -0.0302151862317 1.61924275338e-05 -38.6753878406 -11.8448473488
205 16777 -0.0303587489775 1.65720831857e-05 -38.6208184213 -11.8603108757
206 16101 -0.0305087348115 1.55493617832e-05 -38.5640072287 -11.8957830161
207 17142 -0.0306451217261 1.60351891469e-05 -38.5125232483 -11.8378965132
208 17372 -0.0307848379555 1.68658505461e-05 -38.4599557098 -11.8195598073
209 16182 -0.0309370961129 1.57292177088e-05 -38.402867934 -11.9167474923
210 16916 -0.0310759785101 1.65958174845e-05 -38.3509749979 -11.8500263487
211 16195 -0.0312257408648 1.59356331251e-05 -38.2952079514 -11.8365739944
212 16579 -0.0313678714855 1.60753372276e-05 -38.2424652606 -11.8179898287
213 16733 -0.031510586389 1.54795325193e-05 -38.1896836935 -11.8233831663
214 17942 -0.031643300013 1.68189622261e-05 -38.1407602149 -11.8970257436
215 16793 -0.0317923489632 1.57298485748e-05 -38.0859969208 -11.8570756401
216 17554 -0.0319286912254 1.63291984266e-05 -38.0360701316 -11.8378731213
217 17266 -0.0320714025437 1.64802901176e-05 -37.9839819985 -11.8522198434
218 16725 -0.0322177476157 1.57828683363e-05 -37.9307482466 -11.8175006875
219 17389 -0.032355196955 1.64696828221e-05 -37.8809161328 -11.8233824995
220 16862 -0.0325008513093 1.56948158468e-05 -37.8282836699 -11.8711500978
221 17689 -0.0326363698718 1.691885768e-05 -37.779474146 -11.8495673982
222 16389 -0.0327881389721 1.65389893354e-05 -37.7249942617 -11.8392610089
223 15781 -0.0329393329086 1.58496515412e-05 -37.6709116799 -11.8392900373
224 16297 -0.0330819150937 1.59609478993e-05 -37.6200831704 -11.8210802394
225 16640 -0.0332240077974 1.58112952159e-05 -37.569595981 -11.8135313092
226 17251 -0.0333622554032 1.58552329586e-05 -37.520634068 -11.8132463184
227 17804 -0.0334987141538 1.60209245833e-05 -37.4724588207 -11.8661890917
228 18069 -0.0336355871819 1.65342841319e-05 -37.4242894199 -11.7916127686
229 17407 -0.0337795055981 1.60750462734e-05 -37.3738040693 -11.8314378513
230 17569 -0.033918780306 1.64087402776e-05 -37.3251065248 -11.8414865901
231 17142 -0.0340627049603 1.57464955359e-05 -37.2749464665 -11.8372330899
232 17888 -0.0341979092732 1.65872608234e-05 -37.2279761131 -11.831947749
233 17140 -0.0343434076802 1.5487392904e-05 -37.1775916808 -11.7780642788
234 18364 -0.034474655192 1.67801563731e-05 -37.1322856777 -11.8125353069
235 17256 -0.0346213528957 1.57057764236e-05 -37.0818066708 -11.8302422502
236 18082 -0.0347554836305 1.63863009364e-05 -37.0357994128 -11.8234247199
237 17683 -0.0348969968393 1.58966686232e-05 -36.9874118887 -11.8214097676
238 18174 -0.0350324152784 1.69059805962e-05 -36.9412537525 -11.8242982255
239 16861 -0.0351819340207 1.57130871625e-05 -36.8904538485 -11.7986336355
240 17655 -0.0353177403863 1.61829554424e-05 -36.8444616309 -11.8060320344
241 17625 -0.0354577261548 1.66207566168e-05 -36.797201589 -11.8190396235
242 16831 -0.0356048517196 1.59768153376e-05 -36.7476918139 -11.7844002054
243 17158 -0.0357449239358 1.63740938579e-05 -36.7007079068 -11.7639542235
244 16800 -0.0358899995367 1.55659312959e-05 -36.6522016149 -11.7829455799
245 17856 -0.0360237738886 1.64905073824e-05 -36.6076138274 -11.8253522479
246 17278 -0.0361678447104 1.57279811625e-05 -36.5597435992 -11.7975636939
247 18064 -0.0363022310552 1.6176343825e-05 -36.5152302789 -11.7732067869
248 18046 -0.0364405200559 1.71126257934e-05 -36.4695637481 -11.7646817146
249 16395 -0.0365940011796 1.57178528107e-05 -36.4190452608 -11.791191122
250 17159 -0.0367317991848 1.59543305252e-05 -36.3738359629 -11.8352685839
251 17532 -0.0368701729114 1.64600121677e-05 -36.3285771466 -11.7907118909
252 17017 -0.0370150757873 1.55448754299e-05 -36.2813318035 -11.8040611786
253 18126 -0.0371476726513 1.63834388679e-05 -36.2382317773 -11.8497509942
254 17731 -0.037288968801 1.55335319765e-05 -36.1924432897 -11.7890410072
255 18908 -0.0374186988686 1.63919536174e-05 -36.1505288246 -11.7738225774
256 18480 -0.0375571739718 1.72218250055e-05 -36.1059213353 -11.7976469907
257 16604 -0.0377106570316 1.5960458457e-05 -36.0566383005 -11.7905014888
258 16955 -0.0378514221792 1.64330357755e-05 -36.011585254 -11.8043802443
