10 100000 0.95 gpomdp sample_hoeffding 30000000
75 151 -0.0110629676032 1.18794529917e-05 -48.1315639636 -12.2017763157
76 235 -0.011163259897 2.16517625316e-05 -48.0674848118 -11.9225629658
77 135 -0.0113694818422 1.66097952945e-05 -47.9363450018 -12.1373315873
78 130 -0.0115201427187 1.54950289289e-05 -47.8410613586 -12.1515722577
79 140 -0.0116518947965 1.3501187401e-05 -47.7580962779 -11.9617564004
80 184 -0.0117785118103 6.36782992457e-06 -47.678679259 -11.820326297
81 536 -0.0118419778534 2.57717944358e-05 -47.6389873436 -12.0731873351
82 198 -0.0120927136087 1.48271577495e-05 -47.4829248248 -12.0672140831
83 227 -0.0122213577759 1.50610673052e-05 -47.4033150134 -12.3019406412
84 254 -0.0123410701607 2.55178690245e-05 -47.3295110486 -11.8525370052
85 97 -0.0125703303635 1.7521053848e-05 -47.1889138141 -11.8665500032
86 85 -0.0127303893046 1.83346917585e-05 -47.0913304522 -11.8901136573
87 69 -0.0128901016865 7.35187638908e-06 -46.9944259117 -11.584121685
88 178 -0.012949064482 1.74948297282e-05 -46.9587679541 -11.6238203842
89 156 -0.0131199676729 1.81832421615e-05 -46.8557691794 -11.9794632383
90 128 -0.0132855667021 2.21594262897e-05 -46.7564684307 -11.6785695393
91 70 -0.0135070778922 1.55063392249e-05 -46.6244053085 -11.9054319248
92 75 -0.0136463191048 5.62762592907e-06 -46.5418355794 -12.7066613063
93 240 -0.0136963483612 1.81557203568e-05 -46.512251667 -12.0567563502
94 197 -0.0138569496703 8.64394295888e-06 -46.4175790757 -12.1889810849
95 437 -0.013940901916 2.72285662171e-05 -46.3682691675 -12.0061614721
96 137 -0.0141868110077 2.57746901697e-05 -46.2245348041 -11.7320022585
97 51 -0.0144203679878 3.81937531239e-06 -46.0889813981 -11.8062807771
98 212 -0.0144537168402 2.53240140526e-05 -46.0697019858 -11.9777122612
99 82 -0.0146824156042 1.67290623079e-05 -45.9379950489 -12.2612717326
100 78 -0.0148214690897 1.20240481094e-05 -45.8583445227 -11.7972572458
101 120 -0.0149437437652 1.47607245926e-05 -45.7885717433 -12.1697927087
102 139 -0.0150599427035 2.00990397679e-05 -45.7224959938 -11.9739408045
103 94 -0.0152327363658 2.31577726961e-05 -45.6246501816 -11.874068842
104 46 -0.0154775305502 4.63696302264e-06 -45.4868707182 -11.9662034425
105 169 -0.0155048157778 2.57885988751e-05 -45.4715739694 -12.1456241161
106 63 -0.0157445302945 1.34222724628e-05 -45.3377013363 -12.2214812712
107 84 -0.0158691403193 6.38010105086e-06 -45.2684754444 -12.4722260374
108 244 -0.0159309586469 2.58442826475e-05 -45.2342248864 -11.6945141267
109 90 -0.0161691162267 1.25290656489e-05 -45.102840196 -11.5578751987
110 131 -0.0162714304261 1.47289398141e-05 -45.0466712618 -11.5432574363
111 152 -0.0164143948454 1.05347924217e-05 -44.9684607717 -11.9155976485
112 273 -0.0165106189915 2.2826011875e-05 -44.9159996278 -12.3327442046
113 138 -0.016715401142 1.6469989196e-05 -44.8048306499 -12.364786018
114 134 -0.0168640131183 1.43234449185e-05 -44.7245588948 -12.0391553108
115 162 -0.0169908509238 1.8841849649e-05 -44.6563155326 -11.6065690141
116 124 -0.0171625012169 1.37067740964e-05 -44.5643508398 -12.9954756786
117 160 -0.0172847213628 7.54378788553e-06 -44.4991406072 -11.9309222173
118 403 -0.0173492135168 2.48408062334e-05 -44.4648215175 -12.2855823212
119 165 -0.0175725424687 1.93857360828e-05 -44.3464589136 -11.9516383427
120 119 -0.0177465230643 1.37313707833e-05 -44.2547639301 -11.9803399554
121 153 -0.0178799718827 1.88724755701e-05 -44.1847333219 -11.6241217603
122 117 -0.0180164003465 1.48581972096e-05 -44.1134088333 -11.9772946191
123 134 -0.0181665035826 1.26345122842e-05 -44.0352484923 -11.4673335764
124 193 -0.0182672135223 1.88613259471e-05 -43.982990772 -11.9304012372
125 147 -0.0184305444756 1.67525015493e-05 -43.8985500957 -11.6948789089
126 139 -0.0185714985884 1.72956943347e-05 -43.825985303 -11.9978009055
127 124 -0.0187188434336 1.91194136959e-05 -43.7504329102 -12.0664545098
128 92 -0.0188757508508 1.4225557611e-05 -43.6703150197 -12.0622674765
129 113 -0.0190186099056 2.25737809326e-05 -43.597671475 -11.8227236011
130 59 -0.0192217548124 1.46486200689e-05 -43.4948636177 -11.6755389329
131 69 -0.0193400816174 7.95631479796e-06 -43.4352446198 -11.4086685952
132 166 -0.0194095973783 1.82677257927e-05 -43.4003092251 -12.3910230769
133 135 -0.0195677374066 1.22432388168e-05 -43.3210827493 -12.1933997996
134 203 -0.0196911634898 1.8491469268e-05 -43.2594852365 -11.88436265
135 161 -0.019856874154 1.64135221512e-05 -43.1771106697 -12.053744654
136 158 -0.0200034931341 2.12093386885e-05 -43.1045359763 -11.912922525
137 95 -0.0201888228373 1.54457959547e-05 -43.0132128231 -12.0162070586
138 103 -0.0203100066583 1.01224269041e-05 -42.9537460073 -12.3663498814
139 194 -0.0203971671171 2.37304137153e-05 -42.9110954898 -11.9353630718
140 90 -0.0206015102866 1.3939656821e-05 -42.8114966392 -12.047449794
141 113 -0.0207027853847 1.44576203431e-05 -42.7623373427 -12.0567694453
142 135 -0.0208307422106 1.77265207476e-05 -42.700418066 -12.1018358044
143 116 -0.0210029630485 1.72064225429e-05 -42.6174146817 -11.7512035476
144 105 -0.0211804096251 1.48275685554e-05 -42.5322929221 -12.0868838519
145 121 -0.0213241528988 1.6777314595e-05 -42.4636346077 -11.6975312157
146 114 -0.0214831507326 1.4459870513e-05 -42.3879965135 -12.079630822
147 136 -0.02159490386 1.50546916557e-05 -42.3350251675 -12.1101849844
148 153 -0.0217109943939 1.57943094428e-05 -42.2801645182 -12.2399418943
149 159 -0.0218418055147 1.66713866389e-05 -42.2185499106 -12.0595670037
150 152 -0.0219907716068 1.75011919779e-05 -42.1486439281 -11.7428705291
