100 100000 2 0.5 10000000

99 0.00118217201258 -0.00476881217463 -0.000909230582493 0.994539323857 99000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
100 0.000669268976563 -0.00439961939874 0.000369192775882 0.995005168959 100000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
101 0.000790886257507 -0.00423681839715 0.000162801001595 0.995553763764 101000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
102 0.00103638835314 -0.00350998614937 0.000726832247776 0.99659406317 102000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
103 0.00327087455361 -0.00228390961443 0.00122607653495 0.997947496072 103000 [0.000772493367549032, -0.014586486853659153, 0.8687408566474915]
104 0.000156135373139 -0.00268892817763 -0.000405018563207 0.997835133277 104000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
105 0.0003992680593 -0.00257443601297 0.000114492164665 0.998462214932 105000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
106 0.00158338830574 -0.00198252897484 0.000591907038127 0.998276922914 106000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
107 0.00046807956514 -0.00302960884988 -0.00104707987503 0.996573344396 107000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
108 0.00256772392939 -0.00232902300997 0.000700585839905 0.997396498777 108000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
109 0.00696251511932 -0.00668728267365 -0.00435825966368 0.996413123847 109000 [0.000772493367549032, -0.014586486853659153, 0.8687407970428467]
110 0.000824892452823 -0.00172412401845 0.0049631586552 0.998862291659 110000 [0.000772493367549032, -0.014586486853659153, 0.8687407374382019]
111 0.00194853118247 -0.00313011821011 -0.00140599419166 0.996015769354 111000 [0.000772493367549032, -0.014586486853659153, 0.8687407970428467]
112 0.0016433965384 -0.0047395336903 -0.00160941548018 0.994737861873 112000 [0.000772493367549032, -0.014586486853659153, 0.8687407374382019]
113 0.000284862004143 -0.00392016903071 0.000819364659588 0.995342444907 113000 [0.000772493367549032, -0.014586486853659153, 0.8687407970428467]
114 0.00370502189402 -0.00856045309768 -0.00464028406697 0.992037881743 114000 [0.000772493367549032, -0.014586486853659153, 0.8687407970428467]
115 0.00427090365468 -0.00413059054272 0.00442986255496 0.994881743169 115000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
116 0.00054424805513 -0.00374843467112 0.000382155871598 0.995600259248 116000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
117 0.00658304390777 -0.00276011986365 0.000988314807476 0.998382709315 117000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
118 0.0010495461224 -0.00279382206794 -3.37022042967e-05 0.997174994485 118000 [0.000772493367549032, -0.014586486853659153, 0.8687407970428467]
119 0.000573811602403 -0.00403081441657 -0.00123699234863 0.995197537862 119000 [0.000772493367549032, -0.014586486853659153, 0.8687407374382019]
120 0.000110976825896 -0.00244762867527 0.0015831857413 0.997955121266 120000 [0.000772493367549032, -0.014586486853659153, 0.8687406778335571]
121 0.000457873090577 -0.00323046254682 -0.000782833871545 0.995960101199 121000 [0.000772493367549032, -0.014586486853659153, 0.8687406778335571]
122 0.00206073152016 -0.00239262854144 0.000837834005373 0.997322213723 122000 [0.000772493367549032, -0.014586486853659153, 0.8687406778335571]
123 0.0033521680127 -0.000754298712625 0.00163832982882 0.999322816654 123000 [0.000772493367549032, -0.014586486853659153, 0.8687407374382019]
124 0.00238420444954 -0.00347258726489 -0.00271828855227 0.996040821329 124000 [0.000772493367549032, -0.014586486853659153, 0.8687406182289124]
125 0.000362891853982 -0.0033694498754 0.000103137389495 0.996707068727 125000 [0.000772493367549032, -0.014586486853659153, 0.8687405586242676]
126 0.00261817889237 -0.00406657326964 -0.000697123394245 0.994356172672 126000 [0.000772493367549032, -0.014586486853659153, 0.8687406182289124]
127 0.00159444802979 -0.00388118124518 0.000185392024463 0.995212209778 127000 [0.000772493367549032, -0.014586486853659153, 0.8687406778335571]
128 0.000608296697345 -0.00255140111704 0.00132978012814 0.997934519265 128000 [0.000772493367549032, -0.014586486853659153, 0.8687406182289124]
129 0.000911767274109 -0.00310903472237 -0.000557633605333 0.998119963005 129000 [0.000772493367549032, -0.014586486853659153, 0.8687405586242676]
130 0.000589315354868 -0.00236841026185 0.00074062446052 0.998302663271 130000 [0.000772493367549032, -0.014586486853659153, 0.8687404990196228]
131 0.000835397990532 -0.00603272158616 -0.00366431132431 0.992872238881 131000 [0.000772493367549032, -0.014586486853659153, 0.8687404990196228]
132 0.0035430607745 -0.00325541942933 0.00277730215683 0.996708816439 132000 [0.000772493367549032, -0.014586486853659153, 0.868740439414978]
133 0.00129912753836 -0.00500434085356 -0.00174892142423 0.993892500061 133000 [0.000772493367549032, -0.014586486853659153, 0.8687404990196228]
134 0.00852579984329 -0.00659939425448 -0.00159505340092 0.992495987767 134000 [0.000772493367549032, -0.014586486853659153, 0.868740439414978]
135 0.00204550747519 -0.00297272455732 0.00362666969716 0.996969522062 135000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
136 0.000649189202448 -0.00370674304634 -0.000734018489024 0.996038190627 136000 [0.000772493367549032, -0.014586486853659153, 0.8687401413917542]
137 0.000700914242118 -0.000284914362449 0.00342182868389 1.00238957063 137000 [0.000772493367549032, -0.014586486853659153, 0.8687402009963989]
138 0.00238773396765 -0.00459253033145 -0.004307615969 0.99462666822 138000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
139 0.00214514226912 -0.0018881276865 0.00270440264495 0.998870981867 139000 [0.000772493367549032, -0.014586486853659153, 0.8687402009963989]
140 0.000370873330863 -0.00345279375149 -0.00156466606499 0.997023774133 140000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
141 0.00147544032498 -0.00219095866225 0.00126183508924 0.998226301469 141000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
142 0.00405977825475 -0.00315008336029 -0.000959124698042 0.99657976343 142000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
143 0.00118650189303 -0.00108039981477 0.00206968354552 0.999755667595 143000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
144 0.00405425879704 -0.00375113999943 -0.00267074018466 0.996563661419 144000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
145 0.00149058224685 -0.00269275998181 0.00105838001762 0.997145668492 145000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
146 0.000574868875365 -0.0052257076147 -0.00253294763288 0.994574764129 146000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
147 0.000555544294267 -0.00135718383311 0.00386852378159 1.00000272776 147000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
148 0.000296426673237 -0.00377089893301 -0.0024137150999 0.997785943798 148000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
149 0.00172126246527 -0.00376504827524 5.85065777228e-06 0.995490836268 149000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
150 0.00222948246659 -0.00169209153439 0.00207295674085 0.998729926686 150000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
151 0.00393192217672 -0.00325718954171 -0.00156509800732 0.996539503474 151000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
152 0.000812108725497 -0.00343161087742 -0.000174421335705 0.996699699612 152000 [0.000772493367549032, -0.014586486853659153, 0.8687402009963989]
153 0.000536774018698 -0.00304383885844 0.000387772018977 0.996333890322 153000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
154 0.000298412084001 -0.0031955841746 -0.000151745316164 0.995940535833 154000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
155 0.000669580701729 -0.00314591465576 4.96695188424e-05 0.996582834959 155000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
156 0.00127271285457 -0.00358168643149 -0.000435771775733 0.99544069927 156000 [0.000772493367549032, -0.014586486853659153, 0.8687402009963989]
157 0.00228495117058 -0.00379452621302 -0.000212839781522 0.996031486026 157000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
158 0.000727202002564 -0.00365591851779 0.000138607695228 0.995917293055 158000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
159 0.00238348934366 -0.00336297301134 0.000292945506444 0.997278951992 159000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
160 0.000768384076539 -0.00265145845579 0.000711514555549 0.99735293284 160000 [0.000772493367549032, -0.014586486853659153, 0.8687402009963989]
161 0.000368751673192 -0.00199551439943 0.000655944056369 1.00252808248 161000 [0.000772493367549032, -0.014586486853659153, 0.8687401413917542]
162 0.0013936825915 -0.00422890640085 -0.00223339200142 0.994156956804 162000 [0.000772493367549032, -0.014586486853659153, 0.8687400817871094]
163 0.000380995644784 -0.00235954119247 0.00186936520838 0.997675506948 163000 [0.000772493367549032, -0.014586486853659153, 0.8687401413917542]
164 0.000701459971381 -0.00281147693012 -0.000451935737655 0.997141781679 164000 [0.000772493367549032, -0.014586486853659153, 0.8687401413917542]
165 0.00459226662474 -0.0052560189227 -0.00244454199258 0.995375406486 165000 [0.000772493367549032, -0.014586486853659153, 0.8687401413917542]
166 0.0014864687702 -0.00370171075405 0.00155430816865 0.995036721017 166000 [0.000772493367549032, -0.014586486853659153, 0.8687400817871094]
167 0.00273219890031 -0.00697118117001 -0.00326947041597 0.993421809443 167000 [0.000772493367549032, -0.014586486853659153, 0.8687400221824646]
168 0.000412268429249 -0.00308206433212 0.0038891168379 0.996381462631 168000 [0.000772493367549032, -0.014586486853659153, 0.8687401413917542]
169 0.000564294607035 -0.00318881380598 -0.000106749473862 0.996448748335 169000 [0.000772493367549032, -0.014586486853659153, 0.8687401413917542]
170 0.000371848032835 -0.00411148159025 -0.000922667784273 0.994698650694 170000 [0.000772493367549032, -0.014586486853659153, 0.8687402009963989]
171 0.000975234431879 -0.000484488067098 0.00362699352316 1.00803762701 171000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
172 0.000232162682043 -0.00239077081776 -0.00190628275066 0.997075536725 172000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
173 0.000465010212744 -0.00325024019025 -0.000859469372491 0.996186711046 173000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
174 0.000736211222175 -0.00360498974197 -0.00035474955172 0.996113722448 174000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
175 0.000383081782326 -0.00334541821149 0.000259571530481 0.995987377029 175000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
176 0.00127538732429 -0.0034662686411 -0.000120850429608 0.995781069441 176000 [0.000772493367549032, -0.014586486853659153, 0.8687402606010437]
177 0.000322207878233 -0.00255494790883 0.000911320732263 0.997603212591 177000 [0.000772493367549032, -0.014586486853659153, 0.8687402009963989]
178 0.00407863187301 -0.00335032664837 -0.000795378739539 0.997129388892 178000 [0.000772493367549032, -0.014586486853659153, 0.8687402009963989]
179 0.000414764053494 -0.00298880981177 0.000361516836596 0.996630202099 179000 [0.000772493367549032, -0.014586486853659153, 0.8687400817871094]
180 0.00468947083991 -0.00263120919861 0.000357600613169 0.999264742239 180000 [0.000772493367549032, -0.014586486853659153, 0.8687401413917542]
181 0.000723173615047 -0.00210410783245 0.000527101366159 0.998498163733 181000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
182 0.000147785022694 -4.65525677891e-05 0.00205755526466 1.00484360753 182000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
183 0.00173739353463 -0.00445288845288 -0.00440633588509 0.994473401562 183000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
184 0.0017908646183 -0.00570965617989 -0.00125676772701 0.993867313184 184000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
185 0.00200213314932 -0.00397011335585 0.00173954282403 0.996243480284 185000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
186 0.00165410364173 -0.00303749743616 0.000932615919692 0.99647651548 186000 [0.000772493367549032, -0.014586486853659153, 0.8687404990196228]
187 0.000703714319939 -0.001381018244 0.00165647919216 0.999045990673 187000 [0.000772493367549032, -0.014586486853659153, 0.868740439414978]
188 0.0058935091568 -0.00266974950363 -0.00128873125963 0.997174345697 188000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
189 0.00379742101481 -0.00454585501229 -0.00187610550866 0.994895501191 189000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
190 0.00202202058241 -0.00522470587776 -0.000678850865471 0.994559767856 190000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
191 7.50118783944e-05 -0.0045864919285 0.000638213949259 0.994667736854 191000 [0.000772493367549032, -0.014586486853659153, 0.868740439414978]
192 0.00501060825973 -0.00435538830891 0.000231103619594 0.994889222808 192000 [0.000772493367549032, -0.014586486853659153, 0.868740439414978]
193 0.000314316481726 -0.00395107929355 0.000404309015362 0.994455701721 193000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
194 0.000613429899732 -0.00258326589972 0.00136781339382 0.998230191668 194000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
195 0.00168083905005 -0.00234598412685 0.000237281772876 0.997687973229 195000 [0.000772493367549032, -0.014586486853659153, 0.868740439414978]
196 0.00121309044154 -0.00299845685632 -0.000652472729472 0.996830308625 196000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
197 0.00118785007729 -0.0027696176003 0.00022883925602 0.997896830517 197000 [0.000772493367549032, -0.014586486853659153, 0.868740439414978]
198 0.000433932366913 -0.00256742331205 0.000202194288248 0.997419540823 198000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
199 0.00242533549959 -0.00275881793127 -0.000191394619216 0.997613575173 199000 [0.000772493367549032, -0.014586486853659153, 0.8687403798103333]
200 0.00259908722601 -0.00473461379168 -0.00197579586042 0.995818567107 200000 [0.000772493367549032, -0.014586486853659153, 0.8687403202056885]
