Open High Low Close Volume
235.02 235.05 235.02 235.02 17973.0
235.02 235.025 234.99 235.02 11925.0
234.94 235.01 234.935 235.01 36737.0
234.96 234.97 234.93 234.94 18477.0
234.94 234.975 234.93 234.965 27235.0
234.93 234.985 234.93 234.945 33729.0
234.93 234.93 234.905 234.92 45819.0
234.93 234.94 234.92 234.94 10045.0
234.99 235.03 234.93 234.935 24150.0
235.0 235.0 234.96 234.985 5660.0
235.03 235.03 234.985 235.0 31170.0
234.97 235.05 234.97 235.04 20301.0
235.0 235.03 234.96 234.97 30260.0
234.88 234.99 234.87 234.99 71056.0
234.905 234.909 234.88 234.88 5407.0
234.92 234.93 234.9 234.9 22628.0
234.91 234.92 234.9 234.92 12975.0
234.89 234.93 234.89 234.905 26016.0
234.91 234.915 234.875 234.89 37720.0
234.83 234.925 234.83 234.925 30414.0
234.81 234.85 234.785 234.82 42136.0
234.79 234.82 234.74 234.81 72272.0
234.83 234.83 234.79 234.79 20204.0
234.86 234.88 234.84 234.84 57530.0
234.82 234.86 234.81 234.86 35952.0
234.83 234.84 234.83 234.83 7893.0
234.825 234.835 234.81 234.83 17373.0
234.78 234.82 234.77 234.82 39390.0
234.79 234.81 234.78 234.78 15957.0
234.78 234.815 234.78 234.79 35664.0
234.78 234.785 234.77 234.78 8514.0
234.775 234.81 234.77 234.775 20325.0
234.73 234.785 234.71 234.78 58307.0
234.72 234.74 234.72 234.73 25689.0
234.72 234.74 234.71 234.72 16969.0
234.7 234.71 234.62 234.71 79248.0
234.69 234.715 234.68 234.705 15507.0
234.69 234.715 234.68 234.69 26473.0
234.65 234.7 234.63 234.685 107454.0
234.59 234.63 234.565 234.63 95971.0
234.67 234.67 234.59 234.59 41266.0
234.73 234.75 234.67 234.67 31772.0
234.81 234.82 234.74 234.74 86521.0
234.825 234.84 234.81 234.82 45722.0
234.81 234.83 234.805 234.83 12883.0
234.85 234.85 234.82 234.82 19020.0
234.87 234.88 234.845 234.86 39954.0
234.88 234.89 234.87 234.88 9521.0
234.87 234.88 234.84 234.88 18869.0
234.84 234.87 234.83 234.87 25176.0
234.91 234.935 234.84 234.84 44113.0
234.97 234.97 234.91 234.92 18635.0
234.89 234.98 234.89 234.965 48143.0
234.94 234.945 234.9 234.9 26711.0
234.88 234.95 234.88 234.94 13499.0
234.9 234.905 234.86 234.88 49258.0
234.93 234.945 234.905 234.905 16782.0
234.91 234.945 234.9 234.94 21522.0
234.935 234.935 234.91 234.91 7087.0
234.96 234.99 234.91 234.93 42064.0
234.96 234.97 234.91 234.955 72955.0
234.93 234.97 234.93 234.955 16639.0
234.905 234.93 234.905 234.93 12546.0
234.9 234.925 234.89 234.9 29220.0
234.9 234.92 234.895 234.91 33295.0
234.91 234.92 234.88 234.9 15002.0
234.93 234.96 234.92 234.93 16900.0
234.95 234.95 234.9 234.93 36396.0
234.99 235.005 234.95 234.95 52367.0
234.99 235.005 234.98 234.99 20455.0
235.025 235.04 234.99 234.99 52965.0
235.03 235.04 234.99 235.04 51895.0
235.02 235.045 235.02 235.04 14630.0
235.02 235.02 234.99 235.01 11188.0
234.99 235.02 234.98 235.01 23770.0
234.98 234.99 234.95 234.99 43007.0
235.03 235.035 234.99 234.99 52512.0
235.03 235.04 235.02 235.035 21961.0
235.06 235.06 235.03 235.03 13281.0
235.05 235.055 235.04 235.05 23536.0
235.04 235.06 235.025 235.06 15599.0
235.065 235.065 235.04 235.04 5427.0
235.09 235.115 235.07 235.07 33071.0
235.02 235.1 235.01 235.1 27352.0
235.015 235.02 234.99 235.02 22076.0
234.99 235.01 234.96 235.01 25692.0
234.99 235.0 234.97 234.99 8409.0
234.99 235.01 234.97 234.98 11197.0
234.94 234.99 234.94 234.98 29607.0
234.87 234.945 234.84 234.945 76284.0
234.87 234.88 234.86 234.87 10444.0
234.86 234.88 234.86 234.87 69036.0
234.86 234.89 234.85 234.86 19697.0
234.87 234.88 234.85 234.865 21231.0
234.89 234.89 234.85 234.86 11481.0
234.89 234.92 234.89 234.89 14181.0
