100 100000 0.95 reinforce iter_bernstein 20000000
286 654 -0.00282041625404 9.6219654019e-07 -54.1741498846 -12.1271398617
287 698 -0.00282994137673 1.28663588312e-06 -54.1661522809 -12.1977691834
288 710 -0.0028433527441 9.84016796918e-07 -54.1548962145 -11.9476863732
289 731 -0.00285267140057 1.21388324005e-06 -54.1470782663 -12.1631189078
290 671 -0.00286567969683 8.29641964892e-07 -54.1361691662 -11.8663395707
291 741 -0.00287318755493 9.54095453011e-07 -54.1298751555 -12.133869431
292 931 -0.00288042007133 1.13735524154e-06 -54.1238135453 -12.1918579276
293 793 -0.00289046365148 1.19652164016e-06 -54.1153985303 -12.3792973498
294 759 -0.00290181621519 9.34162588367e-07 -54.1058903688 -12.0582495805
295 692 -0.00291092958627 1.11818142566e-06 -54.0982603597 -12.0541557886
296 894 -0.00292017393332 1.26118295865e-06 -54.0905231958 -12.0995880732
297 689 -0.00293318297504 1.07721131313e-06 -54.0796393933 -12.1352260369
298 837 -0.00294249770554 1.31835148277e-06 -54.0718494389 -12.1189133584
299 695 -0.00295619902797 9.40610579602e-07 -54.0603955984 -12.1536479799
300 691 -0.00296546981645 9.57172701112e-07 -54.0526486671 -12.1270501214
301 665 -0.00297524592358 8.69697053142e-07 -54.0444822152 -11.8971390786
302 801 -0.00298269126595 1.23529824494e-06 -54.0382646475 -12.181482638
303 719 -0.00299501255724 8.98257298751e-07 -54.0279787771 -11.9294668586
304 784 -0.00300281085384 1.1700388148e-06 -54.021471027 -12.1562162571
305 656 -0.00301531341101 8.67848708485e-07 -54.0110412526 -11.8782043
306 815 -0.00302265356967 9.83218844916e-07 -54.0049201455 -12.1474281915
307 668 -0.00303256258248 1.19547640059e-06 -53.9966593243 -12.0950622394
308 670 -0.00304546042059 8.57670608939e-07 -53.9859111267 -12.1481040776
309 612 -0.00305473925879 1.242768591e-06 -53.9781817753 -12.1928527956
310 802 -0.00306660366369 1.1471420146e-06 -53.9683022958 -12.1018496923
311 722 -0.00307783321909 8.81831102287e-07 -53.9589552479 -12.0273222358
312 765 -0.00308562863903 9.20982533182e-07 -53.9524688096 -11.9521617652
