100 100000 0.95 reinforce cheb_reinforce 30000000
199 17234 -0.0294580187837 1.60356911646e-05 -38.9663258498 -11.9126481823
200 17464 -0.0295973695045 1.64081979072e-05 -38.9123819996 -11.8725233208
201 17041 -0.0297417174327 1.6022105989e-05 -38.8566945464 -11.847800574
202 17292 -0.0298816398165 1.63573444193e-05 -38.8028988525 -11.8533968289
203 16960 -0.0300258818106 1.62365459085e-05 -38.7476315065 -11.8186351934
204 16840 -0.0301695700861 1.57487820157e-05 -38.6927662236 -11.8043231625
205 17569 -0.03030601701 1.65018608502e-05 -38.6408405135 -11.8787457699
206 16981 -0.0304514434938 1.6613969176e-05 -38.5856838456 -11.8657786545
207 16227 -0.030601220192 1.57002908614e-05 -38.5290771378 -11.8831181
208 17013 -0.0307394515252 1.63600836686e-05 -38.4770129583 -11.8612681576
209 16682 -0.030884915997 1.6082111176e-05 -38.4224091183 -11.8257425557
210 16825 -0.0310272985236 1.63276277667e-05 -38.3691446477 -11.8291219122
211 16552 -0.031173043152 1.65524289365e-05 -38.3148084566 -11.8563770595
212 15916 -0.031323715669 1.49044982291e-05 -38.2588318901 -11.8536387866
213 18095 -0.0314509566623 1.70233750122e-05 -38.2117154752 -11.8275926034
214 16589 -0.0316027423342 1.55243524304e-05 -38.1556951394 -11.8341075132
215 17707 -0.0317367216454 1.70230634837e-05 -38.1064129429 -11.8721547301
216 16234 -0.0318901560573 1.57232802239e-05 -38.0501650058 -11.8051529272
217 16981 -0.0320287216996 1.60758025988e-05 -37.9995417849 -11.8731338807
218 17138 -0.032169744616 1.68994154954e-05 -37.9481894729 -11.8537629793
219 15910 -0.0323236052944 1.56675039356e-05 -37.8923554857 -11.8240632811
220 16737 -0.032462683514 1.60944996728e-05 -37.8420583722 -11.8231110876
221 16859 -0.0326050308656 1.63951220994e-05 -37.7907477704 -11.8374849665
222 16472 -0.0327517316071 1.57911634829e-05 -37.7380457169 -11.8860484447
223 17111 -0.0328903636846 1.60133361369e-05 -37.6884073421 -11.8125143789
224 17379 -0.0330298610306 1.62677929859e-05 -37.6386202211 -11.8143530018
225 17201 -0.0331723053799 1.60209107017e-05 -37.5879472282 -11.7885864303
226 17457 -0.0333115566413 1.66509346811e-05 -37.5385714236 -11.8345570124
227 16620 -0.0334598836076 1.5889758755e-05 -37.4861520704 -11.8505389706
228 17093 -0.0335994558574 1.65264432453e-05 -37.4369902727 -11.8642888049
229 16480 -0.0337472971117 1.58034685715e-05 -37.3850880135 -11.8320193139
230 17098 -0.0338860902545 1.62474394311e-05 -37.3365226435 -11.8339922617
231 16958 -0.034029372662 1.60943133158e-05 -37.2865485778 -11.7948121945
232 17082 -0.0341707864476 1.64106957568e-05 -37.237386999 -11.8345617469
233 16664 -0.034316780168 1.63060536279e-05 -37.1867999553 -11.8484988048
234 16429 -0.034462873714 1.59647799571e-05 -37.1363470423 -11.7773119696
235 16768 -0.0346044559563 1.57194645811e-05 -37.0876123467 -11.7890102163
236 17546 -0.0347407378324 1.58553277183e-05 -37.0408503978 -11.8093595417
237 18109 -0.0348760460431 1.66415996574e-05 -36.9945657705 -11.8322440651
238 17257 -0.0350215278295 1.60918669879e-05 -36.9449595593 -11.8192716246
239 17388 -0.0351616724667 1.6423331314e-05 -36.8973277588 -11.851837046
240 16940 -0.0353065800947 1.58739859362e-05 -36.8482358516 -11.8231344864
241 17450 -0.0354445799885 1.70460976379e-05 -36.8016334592 -11.7840770525
242 15961 -0.0355995300602 1.56189701462e-05 -36.7494797635 -11.7814595994
243 16873 -0.0357376147638 1.59865280352e-05 -36.7031559327 -11.8173244553
244 17184 -0.035877666618 1.6116805571e-05 -36.6563189986 -11.8302356101
245 17271 -0.0360185043823 1.7100794515e-05 -36.6093676532 -11.7878694787
246 15710 -0.0361751888462 1.53253357664e-05 -36.5573075107 -11.7957435151
247 17111 -0.0363097314327 1.60728551925e-05 -36.5127498414 -11.7630596133
248 17274 -0.0364501708553 1.61302109794e-05 -36.4663820744 -11.7864652232
249 17337 -0.0365908537472 1.60534088333e-05 -36.4200795053 -11.7703978214
250 17537 -0.0367300685417 1.63632765701e-05 -36.3744028988 -11.8523746256
251 17190 -0.0368733944847 1.61851035836e-05 -36.3275251036 -11.7765174119
252 17157 -0.0370152952652 1.60112787804e-05 -36.2812603584 -11.8075727254
253 17429 -0.0371545730381 1.60198836514e-05 -36.2359923045 -11.7832235515
254 17690 -0.0372928944043 1.61868093183e-05 -36.1911732015 -11.7903621538
255 17653 -0.037432802278 1.57055580645e-05 -36.1459793983 -11.7873276761
256 18498 -0.037565412882 1.69669398189e-05 -36.1032716015 -11.801806218
257 17056 -0.0377146110186 1.55777667553e-05 -36.0553708869 -11.8105335485
258 18107 -0.0378475585511 1.66414073372e-05 -36.0128199777 -11.7694629525
259 17255 -0.0379930452722 1.64377385845e-05 -35.9663982036 -11.7857302516
260 16786 -0.0381387443072 1.56309306694e-05 -35.9200571397 -11.8184591024
261 17724 -0.0382735780063 1.62632972986e-05 -35.8773036546 -11.7738994222
262 17550 -0.0384145580608 1.59825159957e-05 -35.8327360837 -11.7657329932
263 17880 -0.0385518196443 1.67788322368e-05 -35.7894758501 -11.7675644997
264 16803 -0.0387004678876 1.57363889923e-05 -35.7427729491 -11.7785424592
265 17553 -0.0388368715619 1.59526107816e-05 -35.7000500835 -11.7602627512
266 17938 -0.0389736567956 1.67461702155e-05 -35.6573349406 -11.8484184531
267 16914 -0.0391215306241 1.64453026559e-05 -35.6112997359 -11.7730036188
268 16442 -0.0392688152341 1.50802558629e-05 -35.5655946272 -11.8104832265
269 18361 -0.0393966206788 1.64554679119e-05 -35.5260523374 -11.7850871879
270 17830 -0.0395381428834 1.65211687982e-05 -35.4823936007 -11.8015158339
271 17200 -0.0396828115064 1.60479667318e-05 -35.4379020345 -11.7788400869
272 17408 -0.0398224936666 1.53933435401e-05 -35.3950756275 -11.7411661836
273 18830 -0.0399513183841 1.66705635534e-05 -35.35569222 -11.7604546836
274 17891 -0.0400944460382 1.62684526705e-05 -35.3120640721 -11.7903829117
275 17707 -0.040234847766 1.6546875853e-05 -35.2693970283 -11.7574426154
276 17036 -0.0403804334922 1.58485370558e-05 -35.2252901529 -11.7270058891
277 17594 -0.0405176459654 1.61795224612e-05 -35.1838458126 -11.7993450328
278 17570 -0.0406578200323 1.58326043092e-05 -35.1416323931 -11.7287126471
279 18175 -0.0407926862909 1.65968197328e-05 -35.1011365842 -11.7793119608
280 17398 -0.0409371845389 1.57221292103e-05 -35.0578777222 -11.8042807588
281 18201 -0.041071017004 1.60984308733e-05 -35.0179305271 -11.7988871737
282 18327 -0.0412075800759 1.66114536064e-05 -34.9772853607 -11.7691911336
283 17518 -0.0413517116227 1.55270072763e-05 -34.9345153111 -11.7696403022
284 18693 -0.0414821299027 1.66203208817e-05 -34.8959271288 -11.7324075651
285 17852 -0.041624983843 1.64024061784e-05 -34.8537816537 -11.7584325373
286 17429 -0.0417676622008 1.63944907185e-05 -34.8118149238 -11.761930553
287 17030 -0.0419119339672 1.54533505946e-05 -34.769507938 -11.7882128412
288 18309 -0.0420430879945 1.60473768075e-05 -34.7311592342 -11.7367282354
289 18531 -0.0421784646829 1.62938312958e-05 -34.6916868149 -11.7371898266
290 18293 -0.0423168137872 1.61364323438e-05 -34.6514636904 -11.7486290866
291 18348 -0.0424536181178 1.63310976389e-05 -34.6118044773 -11.7960243768
292 18044 -0.0425932370913 1.63613776295e-05 -34.5714464939 -11.7468476525
293 17690 -0.0427345051 1.55105499519e-05 -34.5307318101 -11.7275050894
294 18908 -0.0428640418047 1.59442432234e-05 -34.4935037982 -11.7185795349
295 19339 -0.0429957096581 1.70615803983e-05 -34.4557664181 -11.7248049768
296 17661 -0.0431431470187 1.5811455217e-05 -34.4136321864 -11.718105231
297 18309 -0.0432773414699 1.65114307789e-05 -34.3753948283 -11.7045367575
298 17679 -0.0434199505651 1.62564036312e-05 -34.3348766424 -11.6977720695
299 17518 -0.0435610007649 1.61498536534e-05 -34.2949192898 -11.7348865695
300 17547 -0.0437010100592 1.60908506429e-05 -34.2553722835 -11.722928641
301 17682 -0.0438399758381 1.5568526709e-05 -34.216233304 -11.717661831
302 18789 -0.0439704100475 1.65038370059e-05 -34.1795994396 -11.7250834142
303 18157 -0.0441110668405 1.55844364211e-05 -34.1402049375 -11.7642020116
304 19262 -0.044240019402 1.6666946287e-05 -34.1041888313 -11.7288941451
305 18308 -0.0443814763047 1.67202600716e-05 -34.0647902199 -11.7320849867
306 17308 -0.0445274299794 1.59102881758e-05 -34.0242592069 -11.7409549125
307 17764 -0.0446645196004 1.60145755312e-05 -33.9863002819 -11.7305201763
308 18040 -0.0448014482076 1.59318002439e-05 -33.9484923955 -11.6987315708
309 18474 -0.0449360562113 1.66038068587e-05 -33.9114285355 -11.7412740872
310 17672 -0.0450794914795 1.62642838395e-05 -33.872046332 -11.6881714309
311 17497 -0.0452206944294 1.61448502536e-05 -33.833389654 -11.7247273943
312 17535 -0.0453607087671 1.59242117777e-05 -33.7951682287 -11.7299601957
313 17971 -0.0454971237399 1.60141114576e-05 -33.7580341289 -11.7367391303
314 18251 -0.0456332543014 1.65488462582e-05 -33.7210800996 -11.7439779894
315 17556 -0.045776685311 1.56397422908e-05 -33.6822547661 -11.7070709258
316 18520 -0.0459086623903 1.6378646939e-05 -33.646629629 -11.6911015071
317 18125 -0.0460483726316 1.60309189539e-05 -33.6090207648 -11.7178520369
318 18376 -0.0461841817101 1.59691768624e-05 -33.5725638912 -11.7083246842
319 18747 -0.046318120197 1.65023693262e-05 -33.5367070852 -11.6977522585
320 18119 -0.0464589114629 1.62197433996e-05 -33.4991201205 -11.7126033964
321 18021 -0.0465976660348 1.56974981313e-05 -33.4621811602 -11.7106123331
322 18900 -0.0467287945939 1.6707885116e-05 -33.4273671269 -11.7114072665
323 17890 -0.0468722479183 1.58043629398e-05 -33.3893859483 -11.7630342844
324 18560 -0.0470054729243 1.5907073527e-05 -33.3542107372 -11.7292688274
325 19055 -0.0471378096522 1.6368084658e-05 -33.3193630048 -11.6917711093
326 18669 -0.047275382102 1.65995160785e-05 -33.2832343861 -11.71736737
327 17866 -0.0474179984063 1.61543455428e-05 -33.245886012 -11.6977646841
328 17888 -0.0475567075908 1.66487929414e-05 -33.2096627923 -11.6705482831
329 17034 -0.0477032019867 1.56911780364e-05 -33.1715152088 -11.6843698337
330 17876 -0.0478379784511 1.59886009525e-05 -33.1365172355 -11.6936708637
331 18201 -0.0479740764846 1.62534521363e-05 -33.1012712167 -11.7114841735
332 18041 -0.0481130432827 1.62587977856e-05 -33.0653805037 -11.68401362
333 17872 -0.0482527087209 1.60531695305e-05 -33.0294089682 -11.6876064165
