100 100000 0.95 gpomdp sample_bernstein 30000000
206 199 -0.0417013730986 2.19305934272e-05 -34.8312971407 -11.6916353056
207 209 -0.0418872737748 2.45945216044e-05 -34.7767302931 -11.9337284058
208 179 -0.0421070270263 2.31216198827e-05 -34.7125022103 -11.6244301957
209 178 -0.0423169544002 1.90786809499e-05 -34.6514228686 -11.6667882203
210 230 -0.0424664677568 2.24982726139e-05 -34.6080852477 -11.7650344558
211 231 -0.0426495027654 2.34818612125e-05 -34.5552158008 -11.894007772
212 226 -0.0428592140175 1.99232244812e-05 -34.4948894655 -11.8084344091
213 284 -0.0430406029873 2.8290009944e-05 -34.4429232108 -11.5552388175
214 185 -0.0432764216902 2.02928040897e-05 -34.3756565469 -11.5327265231
215 225 -0.0434691668831 2.083931102e-05 -34.3209211219 -12.3658573439
216 256 -0.0436343089469 2.51778086503e-05 -34.2741983534 -11.8937848086
217 221 -0.043845556123 2.37005513086e-05 -34.2146639961 -11.4255875788
218 206 -0.0440641303182 2.00229343182e-05 -34.153337984 -11.6315274879
219 254 -0.0442353116514 2.21760640461e-05 -34.1055020101 -12.0018021198
220 268 -0.0444518752289 2.4159089328e-05 -34.0452254061 -11.7532273463
221 247 -0.0446592385129 2.80214792865e-05 -33.9877605914 -11.9989274892
222 160 -0.0448973951863 2.04435914696e-05 -33.922063262 -11.5431077308
223 184 -0.045059958866 2.25479240977e-05 -33.8774024984 -11.6310046343
224 185 -0.0452435068954 1.81557269626e-05 -33.8271548094 -11.7711899474
225 256 -0.0453909462903 2.48526597825e-05 -33.7869282397 -11.6855342242
226 217 -0.045588272332 2.36906663212e-05 -33.7332795963 -11.4017295168
227 205 -0.045791374179 2.31575067559e-05 -33.6782850175 -11.6205348787
228 194 -0.045956877986 1.98816602219e-05 -33.633638349 -11.7234500949
229 233 -0.0461143791838 2.00793813823e-05 -33.5912893147 -11.5447254717
230 291 -0.0462846711258 2.93656672984e-05 -33.5456526808 -11.5796282156
231 175 -0.0465419816226 1.96992613105e-05 -33.4769929443 -12.1425527971
232 210 -0.046704687174 2.33859238376e-05 -33.4337606463 -11.7516498408
233 200 -0.0468889401824 2.49097740018e-05 -33.384973556 -11.6775489269
234 168 -0.0470849904621 2.36726301255e-05 -33.3332605983 -11.4742947399
235 156 -0.0472667870435 1.6833331884e-05 -33.2854886665 -12.2478375966
236 228 -0.0473857247233 2.31732341535e-05 -33.2543285276 -11.535415388
237 222 -0.0475851342533 2.19607583013e-05 -33.2022516854 -11.755980353
238 240 -0.047767155595 2.46848396967e-05 -33.1548963936 -11.7465200897
239 207 -0.0479653920575 2.14320250424e-05 -33.1035174201 -11.6274394756
240 226 -0.0481453825644 1.75257628115e-05 -33.0570424895 -11.5745004317
241 324 -0.0482928548273 2.92881682992e-05 -33.0190875576 -11.6252289213
242 195 -0.0485182539427 1.58173686281e-05 -32.9612904379 -11.9155356102
243 305 -0.0486388460955 2.63193166201e-05 -32.9304737017 -11.7232126884
244 237 -0.0488454699911 2.82591908098e-05 -32.8778422578 -11.4190211681
245 156 -0.049083773441 1.89922094387e-05 -32.8174069456 -11.5969739859
246 198 -0.0492255086717 2.42226846908e-05 -32.7815961206 -11.432684442
247 179 -0.0494308013993 2.06828755746e-05 -32.7299032912 -12.054951356
248 203 -0.0496293797453 2.18549902565e-05 -32.6800987204 -11.4673563968
249 215 -0.0498199501036 1.42891668711e-05 -32.6324842482 -11.5655887574
250 383 -0.0499357920497 3.02915907161e-05 -32.6036273749 -11.9343054966
251 211 -0.0501967694819 2.25914156516e-05 -32.5388548529 -11.6117832881
252 212 -0.0503746935618 2.17002028798e-05 -32.4948838234 -11.8828797741
253 233 -0.0505706084353 2.21377524479e-05 -32.4466422074 -11.8387064185
254 242 -0.0507498365174 2.79130500228e-05 -32.4026698106 -11.7349731598
255 159 -0.050972187648 2.20577327897e-05 -32.3483291433 -11.5655517365
256 167 -0.0511743876624 2.08729757135e-05 -32.2991155711 -11.4335126245
257 191 -0.0513419887811 2.22330237364e-05 -32.2584683108 -11.5949791477
258 196 -0.0515366915424 1.98757117059e-05 -32.2114127108 -11.9951892669
259 231 -0.051691289363 1.91370554334e-05 -32.1741749176 -11.858458779
260 289 -0.0518356519091 2.93051624011e-05 -32.1395021412 -11.498681899
261 176 -0.0520981069201 1.57552466781e-05 -32.0767113416 -11.6521601573
262 280 -0.0522141643048 2.34114784646e-05 -32.0490457087 -11.676817857
263 267 -0.0524115917793 2.66573217338e-05 -32.0021238571 -11.5972530185
264 205 -0.0526098632053 1.97343935429e-05 -31.9551789241 -11.6442237242
265 247 -0.0527600974093 2.3326400735e-05 -31.9197256626 -11.6938661266
266 234 -0.0529529465481 2.29904472909e-05 -31.8743640171 -11.5560387907
267 225 -0.0531364821655 2.69299238107e-05 -31.8313470253 -11.6313981015
268 166 -0.0533942848869 2.15135190042e-05 -31.7711754018 -11.1785471125
269 181 -0.053587337066 1.32206230433e-05 -31.7263083572 -11.846333042
270 346 -0.0536949102825 2.52494954567e-05 -31.7013782361 -11.5727202461
271 297 -0.053908560139 2.74393336991e-05 -31.6520144704 -11.9332942114
272 204 -0.0541480445379 2.47866560495e-05 -31.5969170349 -11.5544938144
273 178 -0.0543737567921 2.08605123353e-05 -31.5452144559 -11.5143413002
274 200 -0.0545480241997 2.28861139517e-05 -31.5054454161 -11.8027148221
275 196 -0.054726202651 2.1036110828e-05 -31.4649177078 -11.4701745424
276 218 -0.0549105007879 2.33511169459e-05 -31.4231397383 -11.5866468761
277 207 -0.0551008819007 1.73997142547e-05 -31.3801333735 -11.6873369468
278 297 -0.0552615549638 2.56701433618e-05 -31.3439563956 -11.5435526293
279 241 -0.0554809522207 1.78307585408e-05 -31.2947313433 -11.8767329438
280 332 -0.0556042150491 3.01760475988e-05 -31.2671633199 -11.3290299043
281 187 -0.0558580252639 2.16328745138e-05 -31.2105960073 -11.8046634818
282 203 -0.0560258586347 2.38667734432e-05 -31.173336206 -11.9006068196
283 185 -0.0562220041663 2.22294834259e-05 -31.1299370781 -11.4249223444
284 191 -0.0563907127841 2.21358509056e-05 -31.0927340021 -11.6687002586
285 198 -0.0565582841339 1.79194446188e-05 -31.0558959286 -11.6409442878
286 277 -0.0566920209465 2.76337554004e-05 -31.0265772045 -11.3362797871
287 191 -0.0569232968996 1.78021512108e-05 -30.9760448283 -11.575305223
288 269 -0.0570548775785 2.51168282418e-05 -30.9473907302 -11.709459994
289 226 -0.0572532363773 2.59619909469e-05 -30.9043246862 -11.204099488
290 180 -0.057485672184 2.63650866954e-05 -30.8540583372 -11.5105447581
291 137 -0.0577244891135 1.65051685025e-05 -30.8026334647 -11.687541462
292 207 -0.0578733128044 2.17780504919e-05 -30.7706998851 -11.5957466111
293 222 -0.0580355788367 2.40299670479e-05 -30.7359802339 -11.5916007355
294 202 -0.0582272948328 2.22563305662e-05 -30.695090805 -11.7865866872
295 206 -0.058405941044 2.11392406686e-05 -30.65711657 -11.6256166571
296 228 -0.0585760243751 2.09382479819e-05 -30.6210764059 -11.9452012809
297 252 -0.0587307970115 2.85874516585e-05 -30.5883766441 -11.4068746291
298 163 -0.0589751723632 2.22779961103e-05 -30.5369314871 -11.6264774648
299 170 -0.0591574090241 1.20317213066e-05 -30.4987146853 -11.7152408311
300 348 -0.0592569434062 2.99025125876e-05 -30.4778941783 -11.8347299306
301 200 -0.0594962683683 2.14262964242e-05 -30.4279844511 -11.8105475833
302 220 -0.0596766023395 2.38022169519e-05 -30.390518161 -11.7755637332
303 201 -0.0598546469566 1.76729777068e-05 -30.3536459637 -11.6530757469
304 278 -0.0599949655175 2.75687652982e-05 -30.3246692237 -11.5911860101
305 192 -0.0602102078911 1.94446887288e-05 -30.2803610028 -11.1347221616
306 248 -0.0603792517891 1.87587155201e-05 -30.245681826 -11.4617431975
307 331 -0.0605257279785 2.75810905036e-05 -30.215716635 -11.3230495829
308 243 -0.0607711257331 2.23209026235e-05 -30.1656891206 -11.570972143
309 256 -0.0609480578866 2.03574108311e-05 -30.1297540817 -11.6831268844
310 306 -0.0611116958168 2.60774460838e-05 -30.0966191891 -11.3708859581
311 251 -0.0613241038765 2.54334870744e-05 -30.0537516324 -11.3529038576
312 204 -0.0615351771814 1.61466757615e-05 -30.0113123927 -11.1302755722
313 322 -0.0616844699818 2.75944295563e-05 -29.9813901791 -11.7399825588
