100 100000 0.75 gpomdp bernstein 30000000
70 3714 0.0177019800676 2.61598535683e-05 -81.1672757527 -12.2866329439
71 3740 0.0179647346054 2.61630429867e-05 -81.7122236155 -12.3059081803
72 3770 0.0182250896001 2.63140629088e-05 -82.2600828789 -12.333092686
73 3761 0.0184879124217 2.59407588469e-05 -82.8212747382 -12.3973913205
74 3831 0.0187428816282 2.62705926784e-05 -83.3736842985 -12.3905814629
75 3832 0.0190004312983 2.67885844771e-05 -83.9398468477 -12.2847853919
76 3718 0.0192707792026 2.64153731133e-05 -84.5431666219 -12.390060913
77 3688 0.0195397225819 2.60174187152e-05 -85.1527336413 -12.3206403723
78 3749 0.0198000759726 2.6394595978e-05 -85.7519527619 -12.3028873911
79 3736 0.0200642968724 2.64634170942e-05 -86.3694615608 -12.3022731509
80 3693 0.0203335811928 2.56736034737e-05 -87.0087640601 -12.3254518648
81 3820 0.0205868219218 2.63507949764e-05 -87.6193670321 -12.3074880647
82 3802 0.0208472126531 2.68642839631e-05 -88.2569232743 -12.3657159786
83 3667 0.0211226767761 2.6135865456e-05 -88.942363078 -12.3373923521
84 3700 0.0213878299861 2.58867728759e-05 -89.6130672215 -12.390721865
85 3790 0.0216441373063 2.61802443074e-05 -90.2718284498 -12.4213864572
86 3816 0.0219016017151 2.65196410474e-05 -90.9441387722 -12.3279802011
87 3766 0.0221655813973 2.6715880738e-05 -91.6447350099 -12.3631940464
88 3670 0.022438865875 2.604118511e-05 -92.3823520008 -12.3770662764
89 3728 0.0227007611583 2.57840988212e-05 -93.1012946862 -12.2657093744
90 3844 0.0229523171179 2.65760228848e-05 -93.8032544102 -12.3834570386
91 3786 0.0232150305026 2.62463516509e-05 -94.5485730249 -12.4627939941
92 3790 0.0234754008983 2.6564564065e-05 -95.2998793977 -12.3805288715
93 3726 0.0237431083059 2.62342589456e-05 -96.0858135406 -12.4006132473
94 3736 0.0240068148282 2.64446489106e-05 -96.8736921952 -12.3186549615
95 3707 0.024274078849 2.59389181761e-05 -97.6864343472 -12.3719956077
