100 500000 0.95 gpomdp hoeffding 30000000
247 101315 -0.0364376632599 1.61296673491e-05 -36.4705057076 -11.796644424
248 101690 -0.0365783448158 1.62121702831e-05 -36.4241906507 -11.7961089395
249 101215 -0.0367200770161 1.61410555612e-05 -36.3776764183 -11.7904368542
250 101472 -0.0368610088388 1.61830665512e-05 -36.3315701952 -11.7992554335
251 101297 -0.0370024295366 1.60869243784e-05 -36.2854490392 -11.8008032019
252 102114 -0.0371424467432 1.61707367039e-05 -36.2399280376 -11.7750190407
253 102065 -0.0372832266766 1.62219511061e-05 -36.1943012934 -11.8053935588
254 101488 -0.0374248538708 1.6211373944e-05 -36.1485431921 -11.7823189281
255 101022 -0.0375667143518 1.60983826154e-05 -36.1028530771 -11.7950733294
256 101718 -0.0377071034761 1.61123828411e-05 -36.0577774537 -11.8089533884
257 102274 -0.037847232662 1.61168111362e-05 -36.0129241289 -11.7945082434
258 102786 -0.0379870502529 1.62931061043e-05 -35.968308158 -11.7771416231
259 101470 -0.0381293114314 1.61398853261e-05 -35.923052878 -11.789918697
260 101740 -0.0382700474964 1.61189502002e-05 -35.8784215098 -11.7805604513
261 102227 -0.0384102653595 1.61422598424e-05 -35.8340910931 -11.7821651973
262 102474 -0.0385505168997 1.61547877001e-05 -35.7898858218 -11.764042364
263 102591 -0.0386907971647 1.62219461443e-05 -35.7458067315 -11.7758187352
264 102011 -0.0388320607413 1.61633374671e-05 -35.7015547173 -11.7753800541
265 102039 -0.0389727944381 1.59594830922e-05 -35.6576038387 -11.7815792351
266 104201 -0.0391103041176 1.63480850587e-05 -35.6147895211 -11.7622047145
267 102294 -0.039252468711 1.60783675222e-05 -35.5706600528 -11.7886678689
268 103208 -0.0393916673431 1.61060137842e-05 -35.5275828339 -11.7722387046
269 103839 -0.0395306814136 1.62409276552e-05 -35.4846920834 -11.7811988651
270 103053 -0.0396713932517 1.61020559757e-05 -35.4414085688 -11.7571237149
271 103724 -0.0398104497109 1.62001462912e-05 -35.3987632126 -11.7470636311
272 103366 -0.03995059577 1.61643955323e-05 -35.3559128281 -11.7715256315
273 103383 -0.0400904206597 1.62670120095e-05 -35.3132892532 -11.7564182227
274 102329 -0.0402318559893 1.61074576586e-05 -35.2703048666 -11.7694423787
275 102939 -0.0403714885903 1.61194641879e-05 -35.2279961467 -11.7647366943
276 103427 -0.0405108955364 1.61033164436e-05 -35.1858818999 -11.7764382646
277 104088 -0.0406497200931 1.62419961108e-05 -35.1440682479 -11.7608969519
278 103289 -0.0407902803887 1.61500285539e-05 -35.101857975 -11.7684729657
279 103457 -0.0409299312303 1.61129044039e-05 -35.0600459916 -11.7604460863
280 104016 -0.0410688858905 1.61693338766e-05 -35.0185657447 -11.7577041762
281 103981 -0.0412083507323 1.61823342069e-05 -34.9770563254 -11.7688198095
282 103809 -0.0413480433003 1.61431165336e-05 -34.9356022388 -11.7642408439
283 104051 -0.0414872354907 1.60545620511e-05 -34.8944186551 -11.7602533052
284 105235 -0.0416248831276 1.63392603159e-05 -34.8538113224 -11.7517520484
285 103402 -0.041766207941 1.61917354453e-05 -34.8122420348 -11.7513569827
286 103133 -0.0419064393179 1.58899876559e-05 -34.7711168584 -11.7480347965
287 106064 -0.0420421424828 1.62723830074e-05 -34.7314353173 -11.7499752916
288 104926 -0.0421818629919 1.61648697863e-05 -34.6906974002 -11.7445355904
289 104939 -0.0423206519686 1.62283596031e-05 -34.6503494578 -11.7629808016
290 104278 -0.0424604269142 1.61366824981e-05 -34.6098335985 -11.7413340333
291 104589 -0.0425992050726 1.61915321035e-05 -34.5697240315 -11.7532189953
292 104319 -0.0427386352335 1.61779281385e-05 -34.5295432794 -11.7438281584
293 104193 -0.0428780321744 1.61938854336e-05 -34.4894890838 -11.7445395551
294 103899 -0.0430177640311 1.6049150975e-05 -34.4494555393 -11.7454011226
295 105139 -0.0431554280806 1.61962852653e-05 -34.4101283778 -11.7430415483
296 104817 -0.0432945674434 1.6130328194e-05 -34.3704941909 -11.7450613266
297 105198 -0.043432889211 1.61770148908e-05 -34.3312064455 -11.7339550518
298 105081 -0.0435716882855 1.61870389669e-05 -34.2918964447 -11.7409718399
299 104857 -0.043710721353 1.61199155527e-05 -34.2526334868 -11.7247005693
300 105349 -0.0438488544596 1.61802190304e-05 -34.2137365112 -11.7121270515
301 105198 -0.043987604051 1.60320750342e-05 -34.1747776812 -11.7486366245
302 106638 -0.0441241515589 1.62635407691e-05 -34.1365460423 -11.7361467474
303 105588 -0.0442633573566 1.61997700602e-05 -34.0976808288 -11.7147756184
304 105227 -0.0444022549947 1.61228369696e-05 -34.0590125929 -11.7335126814
305 105689 -0.0445401904706 1.60876674275e-05 -34.0207214246 -11.739357787
306 106533 -0.044677279039 1.6274354869e-05 -33.9827727358 -11.7207106112
307 105369 -0.0448167224969 1.6172037774e-05 -33.9442815292 -11.7278405215
308 105305 -0.0449553312254 1.61055734722e-05 -33.9061295815 -11.7325992015
309 105953 -0.0450929473643 1.62266779192e-05 -33.868357749 -11.7300883568
310 105303 -0.0452320255792 1.60965907276e-05 -33.8302923898 -11.712328847
311 106048 -0.0453695035904 1.61923392784e-05 -33.7927710389 -11.7114016245
312 105766 -0.0455079838684 1.60916619174e-05 -33.7550822779 -11.7196584065
313 106567 -0.0456450843399 1.61176845532e-05 -33.717873544 -11.7224594094
314 107091 -0.0457820702339 1.62424449936e-05 -33.6807993232 -11.7115460309
315 106264 -0.045920652736 1.61537235697e-05 -33.6433977466 -11.7187231249
