100 100000 0.75 gpomdp iter_bernstein 20000000
96 703 -0.000181308421499 1.98395130773e-07 -56.4986152138 -12.3204627342
97 718 -0.00018309338053 1.93575781411e-07 -56.4969663699 -12.1793820724
98 658 -0.000184996933622 1.89373944138e-07 -56.4952080955 -12.2592244697
99 693 -0.000186767319436 2.0553343758e-07 -56.4935729362 -12.0656765174
100 662 -0.000188782598025 1.9077155805e-07 -56.4917117199 -11.9214130512
101 701 -0.000190544829505 1.88383106903e-07 -56.4900843197 -12.1884217293
102 680 -0.000192336964118 2.26510915655e-07 -56.488429413 -12.3099011999
103 703 -0.000194457257071 2.2183262261e-07 -56.4864716175 -12.3011951806
104 685 -0.000196577256163 1.89491554213e-07 -56.4845142469 -12.1123541345
105 673 -0.000198395575155 1.95318031855e-07 -56.4828355362 -12.1218573413
106 705 -0.000200190075298 1.78772632266e-07 -56.4811789262 -12.1223655517
107 658 -0.000201920695024 2.03483305141e-07 -56.4795813922 -12.1097356488
108 706 -0.000203789612264 1.74969231622e-07 -56.4778563106 -12.2066248126
109 688 -0.000205423713305 2.05086443022e-07 -56.4763480709 -12.3468322436
110 674 -0.000207403608182 2.316592626e-07 -56.4745207932 -12.2425880282
111 679 -0.000209661446869 1.97471490148e-07 -56.4724371597 -12.1965605894
112 661 -0.000211600664676 2.01469146543e-07 -56.4706477026 -12.1893230994
113 688 -0.000213505486379 1.96907441624e-07 -56.4688901101 -12.131803691
114 701 -0.000215339512079 1.8556475119e-07 -56.4671979585 -12.0129413903
115 689 -0.000217064931892 2.21365134209e-07 -56.4656061161 -12.0496598473
116 691 -0.000219170916645 1.58709343737e-07 -56.4636633087 -11.890937883
117 672 -0.000220662066326 1.52754477982e-07 -56.4622877888 -12.3865701927
118 752 -0.000221957118711 1.85105661809e-07 -56.4610932215 -12.2218906889
119 670 -0.00022374286183 1.9772511643e-07 -56.4594461307 -12.1532431638
120 634 -0.000225749647244 1.93171172863e-07 -56.4575952899 -12.0905358357
121 715 -0.000227507016069 2.01089831553e-07 -56.4559745966 -11.9546139298
122 661 -0.000229468390943 2.10452314288e-07 -56.4541658877 -12.0786107848
123 658 -0.000231560131329 2.06567393068e-07 -56.4522371048 -12.3100120664
124 686 -0.000233518301695 2.27185908979e-07 -56.4504316213 -12.0921739661
125 681 -0.000235722869652 2.11370621639e-07 -56.4483991093 -12.0185756554
126 646 -0.000237848801283 1.96048768561e-07 -56.4464392531 -12.1096086068
127 636 -0.000239843933982 2.01463225526e-07 -56.4446001181 -12.2987770583
128 674 -0.000241802063091 2.18318189522e-07 -56.4427952252 -12.2355560788
129 699 -0.000243855778494 1.54166993821e-07 -56.4409023665 -11.9442014458
130 679 -0.00024529209874 2.27852830734e-07 -56.439578631 -12.2566471109
131 652 -0.0002475958161 1.86067074756e-07 -56.4374556353 -12.2884367304
132 678 -0.000249383136833 1.94413880672e-07 -56.4358086504 -12.2724007398
133 713 -0.000251163691209 2.23660796069e-07 -56.4341680088 -12.3198450391
134 644 -0.000253434831293 1.8204718228e-07 -56.4320754874 -12.2684336368
135 688 -0.000255146424721 1.78468929613e-07 -56.4304986219 -12.0588962389
136 689 -0.000256818395052 1.91990186488e-07 -56.4289583569 -12.1742018071
137 693 -0.000258603604573 1.90008997636e-07 -56.4273138778 -12.211811189
138 703 -0.000260364271621 2.28225660977e-07 -56.4256921126 -12.2685705967
139 656 -0.000262644057025 1.86861499509e-07 -56.4235923399 -12.2392001426
140 727 -0.000264315633864 2.00252641221e-07 -56.4220528637 -12.0722675391
141 674 -0.000266244899539 1.7770577445e-07 -56.4202761813 -12.0147644813
142 669 -0.000267948351884 1.85985580686e-07 -56.4187075582 -12.1482160711
143 683 -0.000269704262206 2.12692881874e-07 -56.4170907324 -12.2243204982
144 684 -0.000271737022411 2.00106183524e-07 -56.4152191169 -11.934225877
145 668 -0.000273687195244 2.03191378903e-07 -56.4134236737 -12.1205998271
146 707 -0.000275570423412 1.76360447518e-07 -56.4116899864 -12.1888163539
147 702 -0.000277191556406 1.86338915344e-07 -56.4101976787 -12.4416864206
148 813 -0.000278674614992 1.9756288969e-07 -56.4088325514 -12.1296911747
149 689 -0.000280531672524 1.92728406467e-07 -56.4071232706 -12.4101463352
150 706 -0.000282308072932 1.92476896825e-07 -56.4054883382 -11.99994723
151 637 -0.000284240053481 1.69834894338e-07 -56.4037103374 -12.0238032881
152 736 -0.000285730197623 1.904633676e-07 -56.4023390451 -12.1805472328
153 735 -0.000287395583527 1.99212485514e-07 -56.4008065773 -12.0009685534
154 675 -0.000289298725508 2.34204834503e-07 -56.3990554447 -12.2669420316
155 681 -0.000291557366584 2.00053982438e-07 -56.3969773673 -12.0118992219
156 685 -0.00029345525994 2.11337124847e-07 -56.3952313321 -12.1590389814
157 710 -0.000295408467944 2.14845681043e-07 -56.3934345359 -12.4470553281
158 705 -0.000297398466608 1.7658456647e-07 -56.3916040285 -12.0536716566
159 673 -0.000299072022842 1.86348023918e-07 -56.3900647059 -11.965220568
160 665 -0.00030086851179 1.78192528393e-07 -56.3884124166 -12.0223197842
161 671 -0.000302583506331 2.09101513509e-07 -56.3868351826 -12.2636575497
162 679 -0.000304606464683 1.74385565146e-07 -56.3849748509 -12.2662983244
163 693 -0.000306228569604 2.16889722863e-07 -56.3834832482 -11.9802130453
164 677 -0.000308312114112 1.83383500958e-07 -56.3815674608 -12.0004526169
165 635 -0.000310171047037 1.87040765988e-07 -56.3798583246 -12.1266802621
166 669 -0.000311977980638 2.03473783342e-07 -56.37819711 -12.1723196244
167 714 -0.000313838357617 1.86887163838e-07 -56.3764868776 -12.0233264767
168 697 -0.000315579211243 2.2084116575e-07 -56.3748866285 -12.2635628549
169 677 -0.000317726320804 1.80599012239e-07 -56.3729130774 -11.9283427597
170 677 -0.000319434958799 2.10468259591e-07 -56.3713426663 -12.1360632826
