100 100000 0.95 reinforce hoeffding 20000000
166 98232 -0.024847545939 1.62715421077e-05 -40.8594670121 -11.8967918214
167 97186 -0.0249927158799 1.63743172129e-05 -40.7964625693 -11.9022005263
168 95154 -0.0251403543745 1.60806635308e-05 -40.7326255139 -11.9141516082
169 95982 -0.0252847184515 1.62870303074e-05 -40.6704358082 -11.9004391426
170 94811 -0.0254318353864 1.58236144797e-05 -40.6072944414 -11.9220175325
171 98165 -0.0255723035138 1.66099542126e-05 -40.5472261424 -11.8966543496
172 93843 -0.0257231089849 1.59315828517e-05 -40.4829746079 -11.8987770998
173 96103 -0.0258660445814 1.61728944639e-05 -40.4223016846 -11.886960895
174 96036 -0.0260111957104 1.63608739182e-05 -40.3609117802 -11.8889225588
175 94157 -0.0261594924646 1.59619382575e-05 -40.2984227614 -11.888467013
176 96128 -0.0263026819057 1.61531986764e-05 -40.2383064794 -11.8939911051
177 96254 -0.0264474926329 1.60787909366e-05 -40.1777287833 -11.894908306
178 97110 -0.0265909990835 1.6152374444e-05 -40.1179130602 -11.8777024837
179 97245 -0.0267350623932 1.6164363871e-05 -40.0580807112 -11.8773460432
180 97262 -0.0268792201952 1.63420636718e-05 -39.9984240774 -11.8834920179
181 95541 -0.0270262695685 1.60453650093e-05 -39.937791183 -11.9091568568
182 96718 -0.0271697674287 1.60766216308e-05 -39.8788360828 -11.8916558894
183 97600 -0.0273128941606 1.6503163263e-05 -39.8202423124 -11.8884417701
184 94319 -0.0274623517521 1.60760416906e-05 -39.7592782277 -11.8682185308
185 95185 -0.0276072777725 1.60249303513e-05 -39.7003774682 -11.8691836259
186 96558 -0.0277507117996 1.61090476056e-05 -39.6422902932 -11.8761221426
187 97118 -0.0278944823605 1.60998153683e-05 -39.5842726038 -11.8789938506
188 97773 -0.0280376885557 1.61137661052e-05 -39.5266863905 -11.8743755386
189 98293 -0.0281806390959 1.63691683371e-05 -39.4694047075 -11.8763880098
190 96288 -0.0283273593874 1.6418439828e-05 -39.410820936 -11.8807687531
191 93854 -0.0284764175619 1.57926402123e-05 -39.3515188011 -11.8743984009
192 97480 -0.0286171021749 1.60515322887e-05 -39.2957459002 -11.8666679102
193 98620 -0.0287592647837 1.63450000922e-05 -39.2395812167 -11.8852987682
194 96846 -0.0289053462039 1.59653112911e-05 -39.1820705759 -11.8720629933
195 98839 -0.0290465877893 1.62792796512e-05 -39.1266592532 -11.8778635329
196 97710 -0.0291914369353 1.60185099062e-05 -39.0700296287 -11.8692595363
197 99184 -0.0293329027102 1.64212589141e-05 -39.0149143176 -11.8770860586
198 96649 -0.0294798148614 1.58092890305e-05 -38.9578764236 -11.8822047479
199 100000 -0.0296187138705 1.65030267225e-05 -38.9041354229 -11.8584886293
200 96640 -0.0297663648351 1.61974117397e-05 -38.8472052577 -11.8644004005
201 96333 -0.0299115119789 1.60087184885e-05 -38.7914373909 -11.8802858172
202 97884 -0.0300538274015 1.60824497741e-05 -38.7369460719 -11.8752933809
203 98718 -0.0301961927891 1.62028287328e-05 -38.6826214653 -11.8763137981
204 98350 -0.030339891658 1.62589669244e-05 -38.6279755612 -11.8600009921
205 97427 -0.0304847699184 1.6054010353e-05 -38.5730709259 -11.858301223
206 98541 -0.0306270110309 1.62716105117e-05 -38.5193501237 -11.8577732887
207 97491 -0.0307719542968 1.60301568462e-05 -38.4647958082 -11.8615705798
208 98845 -0.0309137656534 1.60634503962e-05 -38.4116020769 -11.8572099722
209 99880 -0.0310551335551 1.62418983934e-05 -38.3587527428 -11.8448301183
210 99114 -0.0311986226715 1.6266214966e-05 -38.3052912985 -11.8572547851
211 98112 -0.0313430588976 1.57599955961e-05 -38.2516600989 -11.8420062182
212 100000 -0.0314801449107 1.63900254697e-05 -38.2009272298 -11.8485216748
213 97754 -0.0316259470346 1.59612568335e-05 -38.1471485138 -11.8328136817
214 99807 -0.0317664664932 1.63999971056e-05 -38.0954928345 -11.841612163
215 97466 -0.0319125721742 1.60779649606e-05 -38.0419643889 -11.8534834464
216 98341 -0.0320551702714 1.59541786967e-05 -37.9898978228 -11.8416828556
217 100000 -0.0321951572832 1.63197315166e-05 -37.9389536902 -11.8473685372
218 98453 -0.032339817461 1.60002719285e-05 -37.8864839987 -11.8445894301
