10 500000 0.95 gpomdp sample_bernstein 30000000

306 4000  0.01 194.126
307 4000  0.01 192.68025
308 4000  0.01 191.839
309 4000  0.01 193.402
310 4000  0.01 192.32875
311 4000  0.01 195.30725
312 4000  0.01 194.64875
313 4000  0.01 193.22275
314 4000  0.01 192.63175
315 4000  0.01 193.78375
316 4000  0.01 192.594
317 4000  0.01 194.82625
318 4000  0.01 194.1435
319 4000  0.01 193.667
320 4000  0.01 193.308
321 4000  0.01 194.3765
322 4000  0.01 193.19425
323 4000  0.01 193.19025
324 4000  0.01 193.1305
325 4000  0.01 193.9505
326 4000  0.01 192.71775
327 4000  0.01 195.8255
328 4000  0.01 195.0015
329 4000  0.01 193.45875
330 4000  0.01 191.819
331 4000  0.01 194.971
332 4000  0.01 195.28175
333 4000  0.01 194.74775
334 4000  0.01 195.028
335 4000  0.01 194.60175
336 4000  0.01 194.1935
337 4000  0.01 192.9005
338 4000  0.01 190.74075
339 4000  0.01 193.7165
340 4000  0.01 192.6395
341 4000  0.01 192.60375
342 4000  0.01 190.07375
343 4000  0.01 193.81975
344 4000  0.01 191.8315
345 4000  0.01 190.656
346 4000  0.01 190.62325
347 4000  0.01 192.9165
348 4000  0.01 191.44875
349 4000  0.01 195.10175
350 4000  0.01 194.92275
351 4000  0.01 194.35725
352 4000  0.01 191.57
353 4000  0.01 191.44625
354 4000  0.01 190.76025
355 4000  0.01 192.9755
356 4000  0.01 191.6095
357 4000  0.01 193.73
358 4000  0.01 192.00175
359 4000  0.01 194.76575
360 4000  0.01 193.07325
361 4000  0.01 192.24525
362 4000  0.01 191.65575
363 4000  0.01 192.69075
364 4000  0.01 192.79775
365 4000  0.01 193.49075
366 4000  0.01 191.7135
367 4000  0.01 194.4715
368 4000  0.01 194.49025
369 4000  0.01 194.12875
370 4000  0.01 192.777
371 4000  0.01 193.27525
372 4000  0.01 191.78725
373 4000  0.01 193.08125
374 4000  0.01 190.868
375 4000  0.01 192.55825
376 4000  0.01 190.99125
377 4000  0.01 192.89625
378 4000  0.01 192.70175
379 4000  0.01 193.9665
380 4000  0.01 193.604
381 4000  0.01 194.8395
382 4000  0.01 191.9385
383 4000  0.01 192.2445
384 4000  0.01 190.62575
385 4000  0.01 193.3795
386 4000  0.01 191.731
387 4000  0.01 193.596
388 4000  0.01 193.10025
389 4000  0.01 193.47075
390 4000  0.01 192.02675
391 4000  0.01 193.05175
392 4000  0.01 192.55275
393 4000  0.01 194.75675
394 4000  0.01 193.46125
395 4000  0.01 192.8465
