100 100000 0.95 gpomdp sample_bernstein 30000000

1 100 [-0.5 -0.  -0.  -0.5] 2.73701022428e-06 -26.6650121788 -19.8531404361
89 5207 [ -5.00400483e-01  -0.00000000e+00  -3.85127703e-06  -5.00236779e-01] 6.11254272458e-06 -26.6666077479 -19.2322292384
90 4789 [ -5.00407809e-01  -0.00000000e+00  -3.85127703e-06  -5.00236779e-01] 7.15797815612e-06 -26.6661965365 -19.2531332786
91 3370 [ -5.00418611e-01  -0.00000000e+00  -3.85127703e-06  -5.00236779e-01] 5.11011275772e-06 -26.6637643534 -19.334175339
92 4129 [ -5.00418611e-01  -0.00000000e+00  -3.85127703e-06  -5.00243596e-01] 5.90554378247e-06 -26.664204596 -19.351645669
93 4010 [ -5.00418611e-01  -0.00000000e+00  -3.85127703e-06  -5.00251061e-01] 5.36623714415e-06 -26.6627910177 -19.2665761183
94 4545 [ -5.00418611e-01  -0.00000000e+00  -3.85127703e-06  -5.00257734e-01] 5.92043628207e-06 -26.6635682575 -19.3228840698
95 4508 [ -5.00426284e-01  -0.00000000e+00  -3.85127703e-06  -5.00257734e-01] 5.67971239038e-06 -26.6610134103 -19.3198249639
96 4760 [ -5.00426284e-01  -0.00000000e+00  -3.85127703e-06  -5.00264839e-01] 5.33639767579e-06 -26.6610829745 -19.2944574062
97 5579 [ -5.00426284e-01  -0.00000000e+00  -3.85127703e-06  -5.00271409e-01] 6.41398127165e-06 -26.6646743208 -19.3122998401
98 4690 [ -5.00434156e-01  -0.00000000e+00  -3.85127703e-06  -5.00271409e-01] 5.4390582611e-06 -26.6632694272 -19.368008547
99 5352 [ -5.00434156e-01  -0.00000000e+00  -3.85127703e-06  -5.00278179e-01] 6.54344657159e-06 -26.6657025946 -19.2980105202
100 4464 [ -5.00442751e-01  -0.00000000e+00  -3.85127703e-06  -5.00278179e-01] 5.35221640088e-06 -26.664512301 -19.3225165212
101 5210 [ -5.00442751e-01  -0.00000000e+00  -3.85127703e-06  -5.00284729e-01] 6.23428684204e-06 -26.662617363 -19.3718888324
102 4753 [ -5.00442751e-01  -0.00000000e+00  -3.85127703e-06  -5.00292927e-01] 6.10639554922e-06 -26.6628784881 -19.332730159
103 4353 [ -5.00450357e-01  -0.00000000e+00  -3.85127703e-06  -5.00292927e-01] 6.45409186858e-06 -26.6638419176 -19.2990014966
104 3652 [ -5.00450357e-01  -0.00000000e+00  -3.85127703e-06  -5.00301965e-01] 5.36124992016e-06 -26.666031172 -19.3181143348
105 4133 [ -5.00450357e-01  -0.00000000e+00  -3.85127703e-06  -5.00309091e-01] 5.95911076219e-06 -26.6650942247 -19.2544987047
106 4060 [ -5.00458633e-01  -0.00000000e+00  -3.85127703e-06  -5.00309091e-01] 5.72465916876e-06 -26.6644857876 -19.3323428289
107 4126 [ -5.00458633e-01  -0.00000000e+00  -3.85127703e-06  -5.00316487e-01] 5.21821826311e-06 -26.6635058094 -19.3012902354
108 4993 [ -5.00458633e-01  -0.00000000e+00  -3.85127703e-06  -5.00323281e-01] 5.73528354291e-06 -26.6675940958 -19.2678177724
109 5070 [ -5.00458633e-01  -0.00000000e+00  -3.85127703e-06  -5.00329948e-01] 5.70502959906e-06 -26.6627234534 -19.2785289139
110 5414 [ -5.00465599e-01  -0.00000000e+00  -3.85127703e-06  -5.00329948e-01] 6.62710642404e-06 -26.661901251 -19.31749654
111 4423 [ -5.00465599e-01  -0.00000000e+00  -3.85127703e-06  -5.00338985e-01] 4.89807180128e-06 -26.6630215967 -19.4310231097
112 5632 [ -5.00465599e-01  -0.00000000e+00  -3.85127703e-06  -5.00344336e-01] 6.67812305457e-06 -26.6624954469 -19.3394900685
113 4427 [ -5.00474075e-01  -0.00000000e+00  -3.85127703e-06  -5.00344336e-01] 4.25868682867e-06 -26.6645177477 -19.2785348989
