100 100000 0.95 gpomdp sample_bernstein 1000000

174 1000  1e-06 -426.646775291 -19.2830331967
175 1000  1e-06 -426.646646812 -19.3448722716
176 1000  1e-06 -426.646513721 -19.3859958394
177 1000  1e-06 -426.646383432 -19.4057635171
178 1000  1e-06 -426.646305661 -19.6205757355
179 1000  1e-06 -426.646188908 -19.2994210491
180 1000  1e-06 -426.646053686 -19.4725961943
181 1000  1e-06 -426.64596378 -19.2003638824
182 1000  1e-06 -426.645811205 -19.2930808358
183 1000  1e-06 -426.645723241 -19.3318835223
184 1000  1e-06 -426.645603598 -19.1881084995
185 1000  1e-06 -426.645460896 -19.3291461222
186 1000  1e-06 -426.645317068 -19.3232758606
187 1000  1e-06 -426.645174197 -19.0927912352
188 1000  1e-06 -426.645062624 -19.3167920859
189 1000  1e-06 -426.644956029 -19.232931727
190 1000  1e-06 -426.644866352 -19.2183545871
191 1000  1e-06 -426.644728066 -19.4651770636
192 1000  1e-06 -426.644602112 -19.2267685708
193 1000  1e-06 -426.644494219 -19.2335600149
194 1000  1e-06 -426.644404908 -19.2283766651
195 1000  1e-06 -426.644297633 -19.38885607
196 1000  1e-06 -426.644188653 -19.3983293015
197 1000  1e-06 -426.644133414 -19.1578561234
198 1000  1e-06 -426.644034796 -19.3301744507
199 1000  1e-06 -426.643940265 -19.3350305561
200 1000  1e-06 -426.64381554 -19.3212214197
201 1000  1e-06 -426.643721973 -19.4204516908
202 1000  1e-06 -426.643611405 -19.305348041
203 1000  1e-06 -426.643511403 -19.1011484666
204 1000  1e-06 -426.643388147 -19.1869934037
205 1000  1e-06 -426.643272628 -19.0827234959
206 1000  1e-06 -426.643157169 -19.1278757711
207 1000  1e-06 -426.643072307 -19.3868942173
208 1000  1e-06 -426.642949943 -19.3664803429
209 1000  1e-06 -426.642832556 -19.2848438746
210 1000  1e-06 -426.642725582 -19.3398046654
211 1000  1e-06 -426.642610776 -19.4186338595
212 1000  1e-06 -426.642496891 -19.2728692178
213 1000  1e-06 -426.642396816 -19.3920106133
214 1000  1e-06 -426.642268873 -19.3383122543
215 1000  1e-06 -426.642175066 -19.2511530628
216 1000  1e-06 -426.642070281 -19.3315255013
217 1000  1e-06 -426.641944386 -19.2210642179
218 1000  1e-06 -426.641848656 -19.2869077059
219 1000  1e-06 -426.641716179 -19.2945105147
220 1000  1e-06 -426.641591715 -19.0129005223
221 1000  1e-06 -426.641489609 -19.2097361882
222 1000  1e-06 -426.641361672 -19.2660634325
223 1000  1e-06 -426.641260702 -19.2815002918
224 1000  1e-06 -426.64113755 -19.2901484204
225 1000  1e-06 -426.641003394 -19.5074334076
226 1000  1e-06 -426.640883834 -19.2415105763
227 1000  1e-06 -426.640746155 -19.410923817
228 1000  1e-06 -426.640640276 -19.3864473609
229 1000  1e-06 -426.64050847 -19.1317558385
230 1000  1e-06 -426.640381672 -19.2281299083
231 1000  1e-06 -426.640250438 -19.1841781895
232 1000  1e-06 -426.640134182 -19.2971818025
233 1000  1e-06 -426.640014115 -19.3523265053
234 1000  1e-06 -426.639891946 -19.303259636
235 1000  1e-06 -426.639789394 -19.3363499893
236 1000  1e-06 -426.639662779 -19.2765217112
237 1000  1e-06 -426.639534028 -19.3817835331
238 1000  1e-06 -426.639407209 -19.2750072728
239 1000  1e-06 -426.639281534 -19.5070304803
240 1000  1e-06 -426.639151622 -19.292188109
241 1000  1e-06 -426.639035686 -19.3244026608
242 1000  1e-06 -426.638906225 -19.1715279447
243 1000  1e-06 -426.638780369 -19.3609158296
244 1000  1e-06 -426.638670764 -19.2177602717
245 1000  1e-06 -426.638544453 -19.4345360001
246 1000  1e-06 -426.638379415 -19.3500442196
247 1000  1e-06 -426.638256114 -19.4077089932
248 1000  1e-06 -426.638155712 -19.3963115684
249 1000  1e-06 -426.638026197 -19.4182281877
250 1000  1e-06 -426.637921135 -19.1465798046
251 1000  1e-06 -426.637845286 -19.1745967805
252 1000  1e-06 -426.637757274 -19.3541598263
253 1000  1e-06 -426.637658823 -19.44790113
254 1000  1e-06 -426.637544171 -19.3599002323
255 1000  1e-06 -426.637439666 -19.3849969323
256 1000  1e-06 -426.637303037 -19.3609250101
257 1000  1e-06 -426.637191558 -18.9474179421
258 1000  1e-06 -426.637063553 -19.3484046242
259 1000  1e-06 -426.636958005 -19.3469462634
260 1000  1e-06 -426.636857924 -19.0850962698
261 1000  1e-06 -426.636739434 -19.2921008728
262 1000  1e-06 -426.63660503 -19.1498713459
263 1000  1e-06 -426.636497207 -19.2359962598
264 1000  1e-06 -426.636378446 -19.2281790475
265 1000  1e-06 -426.636233846 -19.4272180392
266 1000  1e-06 -426.636130017 -19.432061773
267 1000  1e-06 -426.636008427 -19.2378044473
268 1000  1e-06 -426.635877505 -19.3410565345
269 1000  1e-06 -426.6357875 -19.4683667659
270 1000  1e-06 -426.635664685 -19.3490734481
271 1000  1e-06 -426.635551411 -19.0913180328
272 1000  1e-06 -426.635445246 -19.2675429872
273 1000  1e-06 -426.635323537 -19.2567693461
274 1000  1e-06 -426.635206265 -19.3334622179
275 1000  1e-06 -426.635093905 -19.311777347
276 1000  1e-06 -426.634985925 -19.2133671736
277 1000  1e-06 -426.634871754 -19.4318923378
278 1000  1e-06 -426.634747692 -19.2988490903
279 1000  1e-06 -426.63461058 -19.1427090375
280 1000  1e-06 -426.634495561 -19.2905372643
281 1000  1e-06 -426.634380601 -19.3909880291
282 1000  1e-06 -426.634265264 -19.1613217276
